min,cdn,bitrate,p2p,value,cnt
1575873660,3,500,0,19,702
1575873660,5,4000,0,13,451
1575873660,5,1200,1,25,1731
1575873660,255,4294967,0,0,2
1575873660,3,4000,1,419,42056
1575873660,3,0,1,0,26
1575873660,5,8000,1,6,713
1575873660,5,1200,0,11,1696
1575873660,3,2000,0,107,2239
1575873660,5,8000,0,7,399
1575873660,3,1200,1,139,9699
1575873660,3,0,0,27,1063
1575873660,3,8000,1,63,4563
1575873660,0,0,0,0,3
1575873660,7,0,1,0,2
1575873660,3,500,1,130,11816
1575873660,5,500,1,39,1918
1575873660,5,2000,0,40,5567
1575873660,5,4000,1,92,5786
1575873660,5,0,0,0,120
1575873660,4,0,1,0,1
1575873660,255,0,2,0,43
1575873660,3,8000,0,61,4808
1575873660,5,2000,1,147,7075
1575873660,3,4000,0,97,2723
1575873660,3,1200,0,14,792
1575873660,5,500,0,21,1482
1575873660,3,2000,1,634,37589
1575873660,5,0,1,13,17
1575873660,4,4000,1,0,1
1575873720,3,8000,0,46,4911
1575873720,0,0,0,0,3
1575873720,5,2000,1,151,7180
1575873720,3,8000,1,51,4542
1575873720,3,4000,1,417,42149
1575873720,5,4000,1,88,5915
1575873720,5,8000,0,5,389
1575873720,3,4000,0,105,2761
1575873720,3,500,0,16,697
1575873720,7,0,1,0,1
1575873720,3,0,0,20,1076
1575873720,3,2000,1,564,37922
1575873720,4,0,1,0,1
1575873720,5,8000,1,15,746
1575873720,3,1200,1,145,9917
1575873720,5,500,0,20,1488
1575873720,3,0,1,0,20
1575873720,255,0,2,1,39
1575873720,3,500,1,134,11774
1575873720,5,0,1,12,16
1575873720,255,4294967,0,0,2
1575873720,4,4000,1,0,1
1575873720,7,500,0,0,2
1575873720,3,1200,0,18,786
1575873720,4,2000,1,0,1
1575873720,5,2000,0,71,5595
1575873720,3,2000,0,90,2235
1575873720,5,4000,0,8,420
1575873720,5,1200,1,28,1707
1575873720,6,2000,1,0,1
1575873720,5,500,1,34,1907
1575873720,5,0,0,0,124
1575873720,3,7000,1,0,1
1575873720,5,1200,0,16,1685
1575873780,3,2000,1,623,39432
1575873780,3,500,1,126,12162
1575873780,5,0,1,12,16
1575873780,3,2000,0,108,2266
1575873780,5,0,0,0,122
1575873780,0,0,0,0,3
1575873780,3,1400,0,0,1
1575873780,255,0,2,0,35
1575873780,5,500,1,43,1920
1575873780,3,4000,0,95,2723
1575873780,5,8000,0,6,410
1575873780,3,500,0,24,718
1575873780,5,2000,1,116,7328
1575873780,5,500,0,30,1544
1575873780,3,8000,0,56,4823
1575873780,4,2000,1,0,1
1575873780,5,1200,0,9,1722
1575873780,3,4000,1,434,43098
1575873780,5,4000,1,110,6076
1575873780,7,2000,1,0,1
1575873780,5,8000,1,21,739
1575873780,5,2000,0,55,5850
1575873780,255,4294967,0,0,1
1575873780,5,1200,1,35,1757
1575873780,3,0,0,16,1074
1575873780,3,8000,1,56,4584
1575873780,3,1200,1,158,10246
1575873780,3,1200,0,28,813
1575873780,5,4000,0,9,423
1575873780,3,0,1,0,18
1575873840,3,0,0,20,1100
1575873840,5,500,0,30,1602
1575873840,4,0,1,0,1
1575873840,5,2000,1,141,7562
1575873840,3,2000,1,625,40580
1575873840,5,8000,1,15,750
1575873840,3,4000,1,407,44092
1575873840,3,4000,0,95,2741
1575873840,5,4000,1,108,6225
1575873840,5,8000,0,8,420
1575873840,3,500,0,18,686
1575873840,5,1200,0,18,1809
1575873840,5,0,0,0,123
1575873840,4,0,0,0,1
1575873840,3,8000,1,58,4671
1575873840,5,2000,0,59,6113
1575873840,5,500,1,37,1989
1575873840,5,0,1,12,17
1575873840,3,1200,0,25,788
1575873840,5,4000,0,9,439
1575873840,4,2000,1,0,1
1575873840,3,1200,1,120,10606
1575873840,0,0,0,0,3
1575873840,3,8000,0,56,4860
1575873840,8,2000,1,0,1
1575873840,255,0,2,0,45
1575873840,3,2000,0,98,2334
1575873840,3,500,1,146,12519
1575873840,5,1200,1,34,1851
1575873840,3,0,1,0,17
1575873900,5,500,1,23,2022
1575873900,6,0,1,0,1
1575873900,3,0,1,2,16
1575873900,3,4000,0,106,2738
1575873900,4,0,1,0,1
1575873900,3,2000,1,585,41832
1575873900,5,2000,0,54,6293
1575873900,3,500,0,21,710
1575873900,5,0,1,12,16
1575873900,5,1200,0,15,1845
1575873900,5,8000,1,12,772
1575873900,255,4294967,0,0,5
1575873900,5,500,0,29,1651
1575873900,5,4000,0,7,452
1575873900,5,1200,1,28,1843
1575873900,4,2000,1,1,1
1575873900,5,2000,1,131,7804
1575873900,3,1200,1,110,10873
1575873900,3,1200,0,20,810
1575873900,3,8000,0,60,4857
1575873900,3,4000,1,392,45525
1575873900,7,0,1,0,1
1575873900,255,0,2,5,40
