min,cdn,bitrate,device,p2p,value,cnt
1566657420,3,1200,C2,0,6,60
1566657420,5,8000,C8,0,0,3
1566657420,3,4000,C1,0,0,25
1566657420,5,8000,C1,0,0,51
1566657420,5,500,C2,0,0,3
1566657420,3,8000,C5,1,2,45
1566657420,5,1200,C3,0,0,3
1566657420,5,0,C2,0,12,186
1566657420,3,2000,C3,1,2,355
1566657420,5,8000,C8,1,0,84
1566657420,3,2000,C5,1,1,60
1566657420,1,8000,C6,0,0,4
1566657420,5,2000,C8,0,0,3
1566657420,5,4000,C3,0,0,6
1566657420,5,4000,C1,0,0,12
1566657420,5,500,C1,0,0,23
1566657420,5,0,C1,0,0,3
1566657420,5,2000,C2,0,8,101
1566657420,5,8000,C1,1,29,583
1566657420,5,1200,C8,1,0,3
1566657420,3,2000,C1,1,176,3608
1566657420,3,500,C3,1,0,7
1566657420,3,2000,C3,0,0,3
1566657420,5,8000,C6,0,0,54
1566657420,3,8000,C1,0,6,57
1566657420,3,500,C2,0,3,17
1566657420,3,8000,C2,0,0,54
1566657420,5,2000,C3,0,0,6
1566657420,3,4000,C6,0,0,42
1566657420,5,8000,C3,1,0,33
1566657420,5,2000,C1,1,24,484
1566657420,3,1200,C6,0,0,8
1566657420,5,2000,C1,0,1,154
1566657420,3,1200,C3,1,1,59
1566657420,5,1200,C1,0,2,15
1566657420,3,8000,C1,1,67,2048
1566657420,3,1200,C8,1,0,14
1566657420,5,1200,C3,1,0,2
1566657420,3,500,C7,0,0,3
1566657420,5,8000,C5,1,2,16
1566657420,3,8000,C7,0,2,41
1566657420,3,8000,C3,1,3,210
1566657420,5,4000,C3,1,2,24
1566657420,5,500,C8,1,0,10
1566657420,3,4000,C8,0,0,7
1566657420,3,4000,C7,0,0,18
1566657420,5,2000,C5,1,0,3
1566657420,5,4000,C1,1,10,314
1566657420,5,8000,C2,0,0,3
1566657420,3,4000,C3,1,1,84
1566657420,3,2000,C8,0,0,16
1566657420,3,4000,C1,1,16,771
1566657420,3,1200,C7,0,0,3
1566657420,8,0,C5,1,0,1
1566657420,5,4000,C2,0,14,69
1566657420,5,4000,C5,1,0,3
1566657420,8,0,C2,0,0,1
1566657420,5,4000,C8,1,0,62
1566657420,5,1200,C6,0,0,1
1566657420,3,1200,C1,1,15,185
1566657420,3,8000,C8,0,0,28
1566657420,3,1200,C5,1,0,13
1566657420,3,2000,C8,1,0,359
1566657420,5,8000,C5,0,0,3
1566657420,3,2000,C7,0,0,3
1566657420,3,4000,C2,0,34,413
1566657420,3,2000,C6,0,1,59
1566657420,3,8000,C6,0,1,81
1566657420,3,4000,C5,1,0,19
1566657420,3,4000,C8,1,2,283
1566657420,5,4000,C6,0,0,17
1566657420,3,8000,C8,1,1,242
1566657420,5,500,C3,0,0,3
1566657420,5,500,C1,1,1,19
1566657420,5,2000,C8,1,0,38
1566657420,5,2000,C6,0,0,5
1566657420,5,1200,C2,0,0,6
1566657420,3,2000,C1,0,13,138
1566657420,5,1200,C1,1,1,35
1566657420,5,2000,C3,1,1,26
1566657420,3,2000,C2,0,40,432
1566657420,3,0,C2,0,17,1006
1566657420,3,1200,C1,0,0,24
1566657420,3,500,C8,1,1,29
1566657420,3,500,C1,1,5,114
1566657420,3,500,C1,0,0,6
1566657480,5,500,C1,1,0,16
1566657480,3,8000,C5,1,0,46
1566657480,3,500,C7,0,0,3
1566657480,5,4000,C5,1,0,3
1566657480,5,4000,C2,0,10,69
1566657480,5,4000,C3,0,0,6
1566657480,5,1200,C1,0,1,20
1566657480,3,1200,C7,0,0,3
1566657480,5,4000,C8,1,0,57
1566657480,5,500,C3,0,0,3
1566657480,3,4000,C2,0,31,428
1566657480,3,8000,C1,1,78,2010
1566657480,5,8000,C8,0,0,3
1566657480,3,0,C2,0,31,1017
1566657480,3,8000,C1,0,7,56
1566657480,3,4000,C1,0,0,25
1566657480,3,4000,C3,1,3,81
1566657480,3,2000,C1,0,8,138
1566657480,3,1200,C1,1,13,189
1566657480,3,2000,C3,1,8,367
1566657480,5,2000,C3,0,0,8
1566657480,5,4000,C1,1,9,320
1566657480,5,8000,C1,0,3,53
1566657480,5,2000,C8,1,0,36
1566657480,5,8000,C6,0,0,54
1566657480,3,500,C8,1,0,32
1566657480,3,4000,C7,0,0,16
1566657480,3,2000,C2,0,27,436
1566657480,3,2000,C6,0,3,58
1566657480,5,2000,C2,0,7,92
1566657480,5,4000,C3,1,1,27
1566657480,5,8000,C5,1,3,18
1566657480,5,1200,C3,1,0,1
1566657480,5,2000,C5,1,0,3
1566657480,3,2000,C8,0,0,15
1566657480,5,4000,C1,0,0,12
1566657480,3,8000,C3,1,11,216
1566657480,5,500,C2,0,0,3
1566657480,1,8000,C6,0,0,5
1566657480,3,2000,C5,1,0,63
1566657480,3,1200,C3,1,2,57
1566657480,5,2000,C1,0,5,156
1566657480,3,8000,C8,0,0,32
1566657480,5,2000,C6,0,0,4
1566657480,5,2000,C8,0,0,3
1566657480,3,500,C1,1,4,113
1566657480,5,8000,C3,1,2,36
1566657480,3,500,C1,0,0,3
1566657480,5,1200,C3,0,0,3
1566657480,5,0,C1,0,0,3
1566657480,3,1200,C6,0,0,6
1566657480,5,4000,C6,0,0,11
1566657480,5,2000,C3,1,3,31
1566657480,3,4000,C6,0,0,40
1566657480,5,1200,C8,1,0,4
1566657480,3,500,C2,0,4,18
1566657480,3,4000,C8,0,0,6
1566657480,3,500,C3,1,0,7
1566657480,5,0,C2,0,7,184
1566657480,3,2000,C1,1,169,3705
1566657480,5,500,C1,0,0,22
1566657480,3,4000,C8,1,0,287
1566657480,3,8000,C2,0,0,57
1566657480,5,2000,C1,1,27,492
1566657480,3,1200,C8,1,0,13
1566657480,5,8000,C8,1,0,83
1566657480,3,8000,C6,0,0,77
1566657480,5,1200,C1,1,2,35
1566657480,5,8000,C2,0,0,3
1566657480,5,500,C8,1,0,9
1566657480,3,4000,C1,1,17,764
1566657480,3,1200,C5,1,0,21
1566657480,5,8000,C5,0,0,3
1566657480,3,8000,C8,1,0,240
1566657480,3,1200,C3,0,0,2
1566657480,5,1200,C6,0,0,1
1566657480,3,2000,C3,0,1,3
1566657480,3,8000,C7,0,1,41
1566657480,3,1200,C2,0,5,64
1566657480,3,4000,C5,1,0,18
1566657480,3,1200,C1,0,0,23
1566657480,3,2000,C7,0,1,3
1566657480,3,2000,C8,1,0,345
1566657480,5,1200,C2,0,0,7
1566657480,5,8000,C1,1,28,579
1566657540,3,0,C2,0,31,1034
1566657540,3,8000,C7,0,1,42
1566657540,3,500,C8,1,0,30
1566657540,3,8000,C1,0,10,58
1566657540,5,4000,C1,1,11,309
1566657540,3,1200,C3,1,1,60
1566657540,3,8000,C2,0,1,56
1566657540,3,4000,C3,1,2,80
1566657540,5,0,C1,0,0,3
1566657540,5,2000,C5,1,1,3
1566657540,5,8000,C6,0,0,50
1566657540,5,1200,C3,1,0,3
1566657540,5,4000,C5,1,0,3
1566657540,5,500,C1,0,0,22
1566657540,5,1200,C2,0,0,9
1566657540,3,1200,C2,0,6,64
1566657540,3,500,C1,0,0,3
1566657540,5,4000,C2,0,11,70
1566657540,3,2000,C8,0,0,15
1566657540,3,4000,C7,0,1,15
1566657540,5,500,C2,0,0,3
1566657540,5,1200,C1,0,0,18
1566657540,3,2000,C5,1,0,65
1566657540,3,1200,C1,0,0,21
1566657540,3,2000,C8,1,0,347
1566657540,5,2000,C1,1,19,490
1566657540,5,1200,C8,1,0,4
1566657540,5,8000,C1,1,19,568
1566657540,3,4000,C6,0,0,44
1566657540,5,1200,C1,1,0,30
1566657540,5,4000,C6,0,0,17
1566657540,5,2000,C2,0,7,87
1566657540,3,2000,C7,0,0,3
1566657540,1,8000,C6,0,0,4
1566657540,5,2000,C1,0,8,149
1566657540,3,1200,C5,1,1,15
1566657540,3,8000,C3,1,6,216
1566657540,3,1200,C8,1,0,12
1566657540,3,500,C3,1,0,9
1566657540,3,8000,C5,1,0,45
1566657540,5,8000,C5,0,0,3
1566657540,3,500,C1,1,10,120
1566657540,5,0,C2,0,4,175
1566657540,5,500,C8,1,0,10
1566657540,3,500,C2,0,3,20
1566657540,3,2000,C3,0,0,3
1566657540,5,2000,C8,0,0,3
1566657540,5,2000,C8,1,0,34
1566657540,3,2000,C1,1,175,3771
1566657540,6,2000,C2,0,0,1
1566657540,3,500,C7,0,0,3
1566657540,3,2000,C2,0,27,447
1566657540,3,1200,C3,0,0,3
1566657540,3,4000,C5,1,0,18
1566657540,5,4000,C3,0,0,6
1566657540,5,500,C3,0,0,3
1566657540,5,4000,C8,1,0,59
1566657540,5,4000,C1,0,0,13
1566657540,3,1200,C6,0,0,9
1566657540,5,1200,C6,0,0,2
1566657540,5,4000,C3,1,1,31
1566657540,3,8000,C8,0,0,31
1566657540,3,2000,C6,0,3,63
1566657540,3,4000,C2,0,39,426
1566657540,3,8000,C6,0,0,78
1566657540,5,1200,C3,0,0,3
1566657540,5,8000,C8,1,0,87
1566657540,3,2000,C1,0,13,144
1566657540,5,2000,C6,0,0,4
1566657540,3,8000,C8,1,0,239
1566657540,5,8000,C3,1,2,37
1566657540,3,8000,C1,1,80,2007
1566657540,3,1200,C1,1,10,194
1566657540,3,4000,C1,0,2,27
1566657540,5,500,C1,1,0,15
1566657540,5,8000,C5,1,3,19
1566657540,3,4000,C8,1,1,280
