min,cdn,bitrate,p2p,value,cnt
1575489600,3,500,1,0,52
1575489600,6,4000,1,3,835
1575489600,5,1200,0,2,47
1575489600,5,2000,0,0,158
1575489600,5,1200,1,0,77
1575489600,6,0,0,1,12
1575489600,6,2000,0,0,24
1575489600,3,10000,1,0,23
1575489600,6,500,1,6,459
1575489600,6,2000,1,8,1300
1575489600,5,4000,0,3,3
1575489600,6,4000,0,1,30
1575489600,6,500,0,1,6
1575489600,5,10000,0,0,7
1575489600,5,500,1,1,58
1575489600,6,1200,1,3,389
1575489600,3,2000,0,0,9
1575489600,6,10000,0,0,11
1575489600,5,500,0,0,46
1575489600,5,2000,1,2,210
1575489600,5,10000,1,1,16
1575489600,3,4000,1,0,118
1575489600,6,10000,1,2,58
1575489600,3,2000,1,1,148
1575489600,5,4000,1,0,172
1575489600,3,1200,1,0,43
1575489600,3,0,0,0,3
1575489660,3,10000,1,0,25
1575489660,6,10000,0,0,11
1575489660,3,1200,1,0,48
1575489660,6,500,0,0,3
1575489660,5,2000,1,1,211
1575489660,5,1200,0,0,47
1575489660,6,0,0,0,12
1575489660,5,4000,0,3,4
1575489660,6,10000,1,6,57
1575489660,3,4000,1,0,118
1575489660,3,500,1,0,51
1575489660,6,500,1,10,441
1575489660,6,2000,0,0,24
1575489660,6,4000,1,4,861
1575489660,3,4000,0,0,3
1575489660,3,0,0,0,3
1575489660,3,2000,0,0,11
1575489660,5,1200,1,2,84
1575489660,5,2000,0,0,166
1575489660,6,1200,1,1,410
1575489660,5,500,1,2,61
1575489660,6,2000,1,11,1329
1575489660,5,500,0,0,48
1575489660,5,10000,0,0,6
1575489660,3,2000,1,1,144
1575489660,5,4000,1,0,169
1575489660,5,10000,1,0,15
1575489660,6,4000,0,2,25
1575489720,5,10000,0,0,6
1575489720,3,0,0,0,3
1575489720,6,0,0,0,12
1575489720,3,2000,1,0,151
1575489720,3,10000,1,0,24
1575489720,6,1200,1,4,409
1575489720,6,2000,1,11,1325
1575489720,5,500,0,2,50
1575489720,5,1200,1,1,82
1575489720,5,4000,1,0,154
1575489720,5,2000,1,0,203
1575489720,6,10000,0,0,11
1575489720,6,500,1,11,436
1575489720,5,500,1,1,64
1575489720,5,4000,0,3,6
1575489720,5,10000,1,0,16
1575489720,3,2000,0,3,9
1575489720,6,2000,0,0,24
1575489720,6,500,0,0,3
1575489720,6,4000,0,7,24
1575489720,3,4000,1,2,118
1575489720,6,1200,0,0,1
1575489720,3,500,1,0,51
1575489720,5,2000,0,0,163
1575489720,6,10000,1,5,62
1575489720,3,1200,1,0,51
1575489720,3,4000,0,0,3
1575489720,5,1200,0,2,49
1575489720,6,4000,1,5,868
1575489780,5,10000,1,0,18
1575489780,6,4000,1,6,902
1575489780,3,0,0,0,3
1575489780,3,500,1,0,53
1575489780,6,2000,0,0,26
1575489780,5,10000,0,0,6
1575489780,3,2000,1,3,151
1575489780,6,4000,0,1,25
1575489780,6,0,0,0,12
1575489780,5,500,1,0,67
1575489780,6,2000,1,11,1342
1575489780,5,4000,0,3,6
1575489780,6,10000,0,0,11
1575489780,3,4000,1,0,120
1575489780,3,1200,1,0,51
1575489780,3,2000,0,0,9
1575489780,3,10000,1,0,24
1575489780,6,1200,1,3,402
1575489780,6,10000,1,2,63
1575489780,5,2000,1,4,216
1575489780,5,500,0,2,49
1575489780,6,1200,0,0,2
1575489780,3,4000,0,0,3
1575489780,5,1200,0,1,52
1575489780,5,4000,1,4,160
1575489780,5,1200,1,0,80
1575489780,5,2000,0,1,167
1575489780,6,500,1,11,448
1575489840,5,500,0,0,51
1575489840,5,10000,0,0,6
1575489840,6,1200,1,4,424
1575489840,6,500,1,10,457
1575489840,3,4000,0,0,3
1575489840,3,2000,0,0,9
1575489840,6,4000,0,0,25
1575489840,6,0,0,0,12
1575489840,6,10000,0,0,12
1575489840,6,2000,0,0,27
1575489840,3,500,1,0,50
1575489840,3,0,0,0,3
1575489840,6,4000,1,5,923
1575489840,5,2000,0,0,172
1575489840,3,4000,1,2,120
1575489840,6,1200,0,0,1
1575489840,5,1200,0,0,54
1575489840,6,2000,1,22,1352
1575489840,3,10000,1,0,23
1575489840,5,10000,1,0,18
1575489840,5,500,1,1,76
1575489840,3,1200,1,0,50
