min,cdn,p2p,bitrate,device,value,cnt
1585011180,5,1,8000,C5,0,18
1585011180,5,0,2500,C2,18,132
1585011180,5,0,500,C3,1,106
1585011180,5,1,8000,C3,0,28
1585011180,8,0,0,C1,0,37
1585011180,3,1,500,C8,0,19
1585011180,8,1,500,C5,2,32
1585011180,3,0,500,C5,0,3
1585011180,5,0,2500,C5,0,3
1585011180,8,0,4500,C8,1,136
1585011180,5,1,500,C1,10,278
1585011180,3,0,500,C3,0,5
1585011180,3,0,2500,C2,18,112
1585011180,8,0,2500,C5,0,9
1585011180,3,0,4500,C7,2,17
1585011180,8,0,4500,C7,4,25
1585011180,3,1,500,C5,1,12
1585011180,3,0,2500,C5,0,9
1585011180,3,1,8000,C8,1,11
1585011180,8,1,4500,C2,0,2
1585011180,3,1,2500,C8,0,31
1585011180,3,1,8000,C5,0,13
1585011180,8,1,4500,C3,47,2245
1585011180,3,0,2500,C8,2,15
1585011180,8,0,4500,C2,1,262
1585011180,3,1,4500,C3,3,102
1585011180,3,1,8000,C1,6,158
1585011180,8,0,2500,C7,2,34
1585011180,5,1,2500,C1,43,1606
1585011180,8,0,2500,C8,0,78
1585011180,5,0,500,C1,0,357
1585011180,3,0,4500,C2,3,38
1585011180,3,0,8000,C6,0,25
1585011180,8,0,2500,C3,0,41
1585011180,8,0,500,C2,4,126
1585011180,5,1,0,C5,0,2
1585011180,3,0,500,C2,0,42
1585011180,3,0,2500,C3,3,22
1585011180,5,0,4500,C1,4,51
1585011180,5,0,4500,C8,0,4
1585011180,8,1,8000,C5,1,86
1585011180,3,0,0,C8,0,1
1585011180,8,0,8000,C3,0,3
1585011180,3,0,0,C1,1,8
1585011180,8,0,8000,C6,5,326
1585011180,8,1,2500,C8,6,1148
1585011180,5,0,4500,C6,0,28
1585011180,5,1,4500,C6,0,4
1585011180,8,0,500,C6,15,94
1585011180,5,1,-1,C1,0,1
1585011180,3,1,500,C3,0,73
1585011180,8,1,4500,C8,3,1839
1585011180,5,1,8000,C1,3,214
1585011180,8,1,2500,C1,237,8828
1585011180,3,0,2500,C6,4,16
1585011180,5,1,500,C8,0,9
1585011180,8,1,4500,C5,0,28
1585011180,3,1,0,C5,0,6
1585011180,0,0,0,C4,0,3
1585011180,8,1,0,C5,0,2
1585011180,8,1,8000,C6,0,13
1585011180,3,0,8000,C1,0,3
1585011180,8,0,500,C8,1,55
1585011180,8,0,0,C2,11,455
1585011180,3,0,4500,C3,2,4
1585011180,5,1,2500,C6,0,3
1585011180,3,0,500,C8,0,3
1585011180,5,0,2500,C1,1,867
1585011180,3,1,2500,C5,0,97
1585011180,8,0,4500,C3,0,23
1585011180,5,1,4500,C8,0,56
1585011180,8,0,500,C5,0,23
1585011180,5,1,8000,C8,0,8
1585011180,5,1,4500,C3,10,359
1585011180,5,1,500,C3,6,103
1585011180,255,2,0,C8,0,2
1585011180,8,0,8000,C2,0,31
1585011180,8,0,4500,C6,32,799
1585011180,8,1,8000,C3,8,210
1585011180,5,0,0,C1,3,5
1585011180,4,1,2500,C3,0,1
1585011180,5,1,2500,C5,3,132
1585011180,8,0,2500,C2,43,600
1585011180,8,0,500,C3,3,37
1585011180,3,0,4500,C8,0,15
1585011180,3,0,8000,C2,0,1
1585011180,5,0,500,C5,0,3
1585011180,3,1,8000,C3,1,29
1585011180,3,1,4500,C8,0,82
1585011180,3,0,4500,C6,1,18
1585011180,8,1,2500,C5,19,913
1585011180,8,1,500,C3,24,590
1585011180,5,0,8000,C6,2,7
1585011180,3,0,-1,C2,0,1
1585011180,8,1,8000,C8,0,164
1585011180,8,0,2500,C6,14,279
1585011180,3,1,2500,C1,32,616
1585011180,3,0,2500,C7,0,9
1585011180,3,0,0,C2,3,198
1585011180,8,0,500,C7,0,67
1585011180,3,0,500,C7,0,19
1585011180,5,1,4500,C1,23,961
1585011180,8,0,2500,C1,27,263
1585011180,5,0,2500,C3,4,390
1585011180,3,0,4500,C1,0,11
1585011180,5,0,500,C2,0,15
1585011180,5,1,500,C5,0,4
1585011180,8,0,500,C1,5,63
1585011180,3,1,500,C1,3,82
1585011180,3,1,2500,C6,0,3
1585011180,5,1,4500,C5,0,3
1585011180,5,0,0,C2,4,8
1585011180,8,0,8000,C8,0,3
1585011180,8,1,4500,C1,84,4452
1585011180,8,1,4500,C6,2,17
1585011180,5,0,4500,C2,1,14
1585011180,3,1,4500,C6,3,3
1585011180,8,0,8000,C7,3,94
1585011180,8,1,500,C6,0,1
1585011180,3,0,500,C1,2,14
1585011180,3,0,8000,C8,0,4
1585011180,8,1,2500,C6,0,14
1585011180,3,1,4500,C1,20,409
1585011180,8,0,4500,C1,1,79
1585011180,5,1,2500,C8,0,28
1585011180,8,1,8000,C1,29,875
1585011180,4,1,0,C1,0,1
1585011180,5,0,2500,C6,0,17
1585011180,5,1,2500,C3,16,345
1585011180,3,1,2500,C3,9,214
1585011180,3,0,2500,C1,2,43
1585011180,5,0,4500,C3,0,29
1585011180,3,0,8000,C7,0,26
1585011180,8,1,2500,C3,70,2252
1585011180,8,1,500,C8,3,622
1585011180,8,1,500,C1,54,1558
1585011240,8,0,2500,C6,2,255
1585011240,8,0,500,C5,1,26
1585011240,3,0,2500,C6,3,18
1585011240,3,1,4500,C1,17,414
1585011240,3,0,500,C5,0,5
1585011240,8,1,2500,C1,238,9127
1585011240,8,0,8000,C2,0,24
1585011240,5,1,4500,C3,9,364
1585011240,4,1,0,C1,0,2
1585011240,8,0,500,C8,0,56
1585011240,5,1,8000,C8,0,7
1585011240,8,0,0,C2,17,473
1585011240,5,1,2500,C3,15,360
1585011240,8,1,2500,C6,0,12
1585011240,3,1,8000,C8,0,13
1585011240,3,1,8000,C3,1,31
1585011240,8,1,2500,C8,3,1133
1585011240,5,0,2500,C5,0,3
1585011240,3,1,500,C1,1,86
1585011240,3,1,8000,C5,1,9
1585011240,3,1,8000,C1,6,164
1585011240,8,0,500,C3,3,32
1585011240,5,1,8000,C5,0,18
1585011240,8,1,4500,C1,66,4601
1585011240,8,0,4500,C6,28,815
1585011240,8,0,8000,C7,3,91
1585011240,3,0,4500,C6,1,21
1585011240,3,0,2500,C2,13,104
1585011240,8,1,8000,C8,0,145
1585011240,3,0,8000,C6,0,26
1585011240,5,1,8000,C3,0,30
1585011240,5,1,8000,C1,0,218
1585011240,5,0,2500,C1,3,874
1585011240,5,0,0,C1,1,1
1585011240,3,1,2500,C1,25,678
1585011240,3,0,8000,C5,0,1
1585011240,5,0,8000,C6,3,6
1585011240,8,0,2500,C1,24,289
1585011240,3,1,2500,C3,9,223
1585011240,3,1,2500,C5,2,108
1585011240,3,0,500,C1,0,7
1585011240,8,0,8000,C6,14,335
1585011240,5,0,500,C1,3,355
1585011240,5,1,2500,C5,0,138
1585011240,3,0,500,C8,0,2
1585011240,3,0,-1,C2,0,3
1585011240,8,0,2500,C7,0,38
1585011240,5,1,4500,C1,14,975
1585011240,3,1,0,C5,1,9
1585011240,3,0,4500,C7,1,18
1585011240,8,0,500,C1,0,57
1585011240,8,1,2500,C5,17,941
1585011240,5,1,4500,C6,0,3
1585011240,8,0,4500,C1,8,74
1585011240,8,0,2500,C2,41,601
1585011240,8,0,8000,C8,0,5
1585011240,3,0,2500,C8,0,9
1585011240,3,0,4500,C5,0,1
1585011240,8,0,8000,C3,0,3
1585011240,3,0,4500,C3,0,3
1585011240,5,1,500,C3,6,102
1585011240,255,0,4294967,C1,0,1
1585011240,8,1,0,C5,0,4
1585011240,5,1,500,C5,0,5
1585011240,8,1,500,C5,3,39
1585011240,8,1,2500,C3,46,2271
1585011240,5,0,2500,C3,1,374
1585011240,8,0,2500,C8,1,85
1585011240,3,0,4500,C1,0,14
1585011240,8,0,4500,C7,3,29
1585011240,5,1,2500,C6,0,3
1585011240,5,1,500,C1,6,286
1585011240,3,0,2500,C7,0,9
1585011240,5,1,500,C8,0,6
1585011240,8,0,500,C6,11,101
1585011240,3,1,2500,C6,0,3
1585011240,3,0,2500,C5,0,3
1585011240,3,1,500,C8,0,18
1585011240,8,1,4500,C6,4,25
1585011240,5,0,500,C3,1,115
1585011240,5,0,500,C2,0,18
1585011240,8,1,8000,C1,26,903
1585011240,3,0,500,C2,2,44
1585011240,8,1,4500,C8,10,1886
1585011240,5,0,500,C5,0,3
1585011240,8,0,0,C1,0,38
1585011240,3,0,8000,C8,0,2
1585011240,5,1,2500,C1,31,1701
1585011240,5,0,4500,C8,0,3
1585011240,3,1,4500,C3,6,120
1585011240,5,0,0,C2,1,3
1585011240,8,1,8000,C5,3,87
1585011240,5,0,2500,C2,22,135
1585011240,3,0,500,C7,0,18
1585011240,5,0,2500,C6,0,13
1585011240,3,1,4500,C6,3,3
1585011240,8,0,4500,C2,0,270
1585011240,8,0,2500,C3,2,55
1585011240,3,0,0,C1,0,6
1585011240,255,2,0,C8,0,3
1585011240,8,1,500,C8,5,663
1585011240,8,1,8000,C3,5,205
1585011240,3,0,4500,C2,1,43
1585011240,5,0,4500,C6,1,24
1585011240,5,1,4500,C5,0,3
1585011240,3,0,500,C3,0,6
1585011240,8,1,4500,C3,42,2323
1585011240,3,0,8000,C7,0,30
1585011240,3,1,4500,C8,1,83
1585011240,8,1,4500,C5,0,27
1585011240,8,0,500,C2,7,124
1585011240,5,0,4500,C1,3,51
1585011240,3,0,2500,C3,0,20
1585011240,8,1,500,C1,49,1610
1585011240,8,0,2500,C5,0,5
1585011240,5,1,0,C5,0,8
1585011240,3,1,500,C3,0,91
1585011240,8,1,500,C3,29,575
1585011240,3,1,500,C5,0,9
1585011240,5,1,2500,C8,0,23
1585011240,3,0,0,C8,0,2
1585011240,8,0,4500,C3,2,28
1585011240,3,1,2500,C8,0,32
1585011240,8,0,500,C7,0,70
1585011240,5,0,4500,C2,1,12
1585011240,8,0,4500,C8,0,117
1585011240,5,0,4500,C3,0,28
1585011240,3,0,0,C2,5,200
1585011240,3,0,4500,C8,0,13
1585011240,5,1,4500,C8,0,58
1585011240,0,0,0,C4,0,1
1585011240,3,0,2500,C1,1,45
1585011240,3,0,8000,C1,0,3
1585011240,8,1,8000,C6,0,15
1585011240,3,0,0,C5,0,1
1585011300,3,0,2500,C2,11,96
1585011300,3,0,2500,C8,1,13
1585011300,3,0,4500,C8,0,11
1585011300,8,1,4500,C1,84,3745
1585011300,5,0,500,C5,0,1
1585011300,5,1,2500,C3,19,270
1585011300,5,0,4500,C2,0,8
1585011300,3,1,500,C8,0,16
1585011300,5,1,4500,C5,0,3
1585011300,8,1,8000,C3,5,183
1585011300,3,0,500,C2,4,40
1585011300,255,0,4294967,C1,0,2
1585011300,3,1,0,C5,0,11
1585011300,8,0,4500,C1,3,73
1585011300,8,0,4500,C2,8,250
1585011300,5,1,500,C3,4,79
1585011300,3,1,4500,C1,35,323
1585011300,8,0,2500,C2,48,598
1585011300,3,1,4500,C3,7,115
1585011300,5,1,8000,C3,2,26
1585011300,8,0,4500,C8,1,97
1585011300,5,0,2500,C3,2,348
1585011300,8,1,8000,C5,2,73
1585011300,3,0,4500,C1,0,18
1585011300,8,1,500,C1,42,1367
1585011300,5,1,2500,C6,0,3
1585011300,5,0,2500,C6,0,14
1585011300,3,0,0,C2,5,182
1585011300,5,0,4500,C1,0,48
1585011300,5,0,8000,C3,0,1
1585011300,3,1,8000,C5,2,13
1585011300,3,0,8000,C7,0,31
1585011300,8,0,500,C2,6,119
1585011300,5,1,2500,C5,3,118
1585011300,8,1,8000,C6,1,7
1585011300,3,0,2500,C3,1,26
1585011300,5,1,2500,C1,28,1402
1585011300,3,1,2500,C6,0,3
1585011300,8,1,2500,C3,53,1992
1585011300,8,0,2500,C1,19,263
1585011300,3,1,8000,C3,0,26
1585011300,8,1,0,C5,0,2
1585011300,8,1,2500,C1,233,7858
1585011300,3,0,500,C5,0,3
1585011300,8,0,0,C2,6,449
1585011300,3,1,500,C1,3,78
1585011300,3,0,2500,C6,3,23
1585011300,3,0,500,C3,0,5
1585011300,8,0,500,C5,0,19
1585011300,5,0,4500,C8,0,2
1585011300,8,1,2500,C8,6,1055
1585011300,8,1,500,C8,2,589
1585011300,3,0,2500,C7,0,7
1585011300,8,1,4500,C3,44,1972
1585011300,5,1,2500,C8,0,27
1585011300,5,0,4500,C3,0,21
1585011300,8,0,-1,C2,0,1
1585011300,3,0,2500,C1,3,34
1585011300,8,0,2500,C8,2,76
1585011300,5,1,0,C5,0,9
1585011300,5,1,4500,C6,0,3
1585011300,5,0,0,C5,0,1
1585011300,3,1,2500,C3,20,199
1585011300,8,0,2500,C5,0,13
1585011300,8,1,4500,C8,7,1718
1585011300,3,0,4500,C2,0,28
1585011300,8,0,2500,C6,3,238
1585011300,8,0,2500,C3,8,56
1585011300,255,2,0,C8,1,3
1585011300,5,0,500,C1,3,304
1585011300,8,0,500,C3,2,26
1585011300,8,0,4500,C5,0,1
1585011300,8,0,2500,C7,0,36
1585011300,6,1,0,C5,0,1
1585011300,3,0,2500,C5,0,4
1585011300,5,0,2500,C2,14,117
1585011300,8,1,500,C5,1,33
1585011300,8,0,4500,C6,30,826
