min,cdn,p2p,device,bitrate,isp,value,cnt
1584633480,5,1,C8,8000,电信,0,3
1584633480,3,0,C1,500,移动,0,5
1584633480,5,1,C3,4500,联通,5,123
1584633480,3,1,C3,4500,小运营商,1,14
1584633480,7,0,C1,500,电信,0,23
1584633480,5,1,C8,4500,移动,0,3
1584633480,7,0,C2,4500,移动,0,29
1584633480,3,1,C1,8000,电信,0,16
1584633480,7,0,C5,2500,移动,0,6
1584633480,3,1,C8,8000,移动,0,5
1584633480,7,1,C1,8000,小运营商,0,5
1584633480,5,0,C2,500,联通,0,3
1584633480,3,1,C3,500,移动,0,43
1584633480,5,0,C3,4500,电信,0,3
1584633480,5,1,C1,500,小运营商,0,2
1584633480,7,1,C1,2500,电信,20,1238
1584633480,5,0,C1,0,移动,0,1
1584633480,3,0,C2,2500,联通,0,6
1584633480,3,1,C1,2500,小运营商,0,9
1584633480,7,0,C6,4500,移动,0,32
1584633480,3,1,C3,4500,移动,3,110
1584633480,5,0,C3,0,联通,1,1
1584633480,5,1,C3,8000,联通,0,7
1584633480,7,0,C7,2500,电信,0,6
1584633480,3,0,C2,0,移动,1,7
1584633480,5,1,C3,4500,电信,3,159
1584633480,5,0,C1,2500,移动,1,53
1584633480,5,1,C3,2500,海外,0,2
1584633480,3,1,C3,2500,电信,1,117
1584633480,5,0,C3,2500,移动,0,14
1584633480,5,1,C1,500,电信,0,39
1584633480,3,0,C1,2500,电信,0,1
1584633480,7,1,C1,2500,移动,26,1349
1584633480,7,1,C1,2500,未知,1,12
1584633480,7,1,C8,4500,阿里云,0,2
1584633480,3,0,C5,2500,电信,0,3
1584633480,7,0,C7,8000,移动,0,3
1584633480,5,1,C3,0,小运营商,0,3
1584633480,7,0,C2,500,小运营商,0,3
1584633480,7,1,C1,500,联通,4,152
1584633480,3,1,C3,8000,电信,0,7
1584633480,3,1,C3,2500,移动,1,113
1584633480,3,1,C8,8000,海外,0,3
1584633480,7,0,C3,500,电信,0,10
1584633480,3,0,C6,8000,联通,0,3
1584633480,7,0,C3,4500,电信,1,11
1584633480,3,0,C2,500,移动,0,7
1584633480,5,0,C2,500,移动,3,9
1584633480,7,0,C2,4500,联通,1,20
1584633480,3,1,C3,500,联通,1,14
1584633480,7,1,C3,2500,电信,24,766
1584633480,5,1,C1,4500,移动,5,253
1584633480,7,0,C3,2500,移动,1,6
1584633480,5,1,C1,2500,电信,6,259
1584633480,3,0,C1,0,移动,0,2
1584633480,7,1,C6,4500,联通,0,3
1584633480,5,1,C1,2500,小运营商,0,29
1584633480,3,1,C3,4500,海外,0,1
1584633480,5,0,C1,0,联通,0,4
1584633480,3,1,C3,8000,联通,0,1
1584633480,7,1,C1,500,小运营商,1,21
1584633480,5,0,C2,0,电信,0,4
1584633480,5,1,C3,4500,移动,2,178
1584633480,7,1,C5,2500,联通,0,160
1584633480,5,0,C3,8000,移动,0,2
1584633480,7,0,C5,2500,联通,0,1
1584633480,5,0,C8,4500,电信,0,4
1584633480,7,0,C2,8000,联通,3,6
1584633480,5,0,C2,2500,移动,1,5
1584633480,7,1,C1,8000,联通,2,150
1584633480,3,0,C6,4500,电信,0,2
1584633480,7,1,C3,4500,小运营商,1,53
1584633480,3,1,C5,8000,移动,0,2
1584633480,7,1,C1,4500,电信,21,1361
1584633480,3,0,C2,0,电信,0,23
1584633480,3,0,C3,500,联通,0,3
1584633480,5,1,C3,2500,小运营商,0,20
1584633480,7,0,C1,500,小运营商,0,6
1584633480,3,1,C5,500,移动,0,3
1584633480,3,0,C3,2500,电信,0,5
1584633480,3,1,C3,8000,移动,0,1
1584633480,5,1,C3,2500,移动,6,162
1584633480,7,1,C8,500,联通,0,21
