min,cdn,p2p,device,bitrate,isp,value,cnt
1587361500,5,0,C5,500,联通,0,3
1587361500,5,0,C2,500,联通,2,6
1587361500,5,1,C8,3000,电信,0,11
1587361500,3,1,C5,500,联通,3,15
1587361500,5,1,C5,3000,联通,0,9
1587361500,3,0,C7,500,电信,0,9
1587361500,5,1,C5,500,电信,1,6
1587361500,5,1,C5,3000,小运营商,0,3
1587361500,5,1,C1,500,联通,13,46
1587361500,3,0,C2,0,联通,1,87
1587361500,5,1,C5,3000,电信,0,30
1587361500,5,0,C2,3000,移动,0,3
1587361500,5,0,C6,3000,小运营商,0,3
1587361500,3,1,C8,3000,小运营商,0,49
1587361500,5,0,C2,500,电信,0,7
1587361500,3,1,C8,500,电信,0,159
1587361500,5,1,C1,500,小运营商,0,2
1587361500,3,0,C2,0,电信,4,119
1587361500,5,1,C3,500,移动,4,35
1587361500,3,0,C7,3000,联通,0,6
1587361500,3,1,C3,500,海外,1,4
1587361500,3,0,C3,3000,联通,0,3
1587361500,5,0,C1,3000,电信,0,3
1587361500,3,0,C8,3000,小运营商,0,2
1587361500,3,1,C3,3000,联通,4,174
1587361500,5,0,C2,3000,电信,0,9
1587361500,3,0,C2,500,电信,7,18
1587361500,3,0,C6,3000,未知,0,2
1587361500,3,1,C1,500,小运营商,3,12
1587361500,3,1,C3,3000,海外,1,11
1587361500,3,0,C2,500,移动,7,24
1587361500,3,0,C1,0,小运营商,0,3
1587361500,5,0,C8,500,电信,0,3
1587361500,3,1,C3,500,电信,19,114
1587361500,3,0,C1,500,小运营商,1,3
1587361500,3,0,C5,3000,电信,0,9
1587361500,5,0,C1,0,联通,0,40
1587361500,5,0,C2,0,移动,0,12
1587361500,5,0,C1,500,联通,16,71
1587361500,5,0,C2,0,联通,0,9
1587361500,5,1,C1,3000,海外,0,3
1587361500,5,1,C3,3000,联通,0,43
1587361500,3,0,C2,500,联通,7,19
1587361500,3,1,C1,3000,移动,16,394
1587361500,3,0,C8,3000,移动,0,4
1587361500,3,0,C3,500,移动,1,6
1587361500,5,1,C1,500,电信,22,78
1587361500,5,1,C5,500,联通,2,9
1587361500,5,1,C8,500,电信,0,6
1587361500,5,1,C3,3000,移动,1,22
1587361500,4,1,C3,500,海外,0,1
1587361500,3,0,C3,3000,移动,0,3
1587361500,3,1,C8,500,海外,0,2
1587361500,5,0,C1,0,电信,0,5
1587361500,3,1,C8,3000,电信,2,779
1587361500,3,0,C6,3000,电信,0,290
1587361500,3,1,C5,3000,联通,1,66
1587361500,3,1,C5,500,小运营商,2,6
1587361500,3,1,C3,500,联通,5,52
1587361500,3,0,C8,500,联通,0,9
1587361500,5,0,C3,500,电信,0,1
1587361500,3,1,C1,500,联通,50,162
1587361500,5,1,C3,500,电信,3,39
1587361500,3,0,C6,3000,海外,0,1
1587361500,3,0,C2,0,移动,2,105
1587361500,3,0,C1,0,联通,0,21
1587361500,3,1,C3,0,联通,0,1
1587361500,3,1,C8,500,小运营商,0,14
1587361500,3,1,C1,3000,海外,1,7
1587361500,3,1,C5,500,移动,3,12
1587361500,3,0,C1,500,联通,2,6
1587361500,5,1,C1,3000,移动,3,116
1587361500,3,0,C7,3000,移动,2,8
1587361500,3,0,C5,500,电信,0,3
1587361500,3,0,C8,3000,电信,0,6
1587361500,5,1,C3,500,联通,0,10
1587361500,5,0,C6,3000,电信,0,24
1587361500,5,1,C1,3000,电信,1,111
1587361500,3,1,C8,500,移动,0,77
1587361500,3,0,C6,3000,联通,0,128
1587361500,5,0,C2,3000,小运营商,0,3
1587361500,3,1,C1,3000,小运营商,4,32
1587361500,3,1,C8,500,联通,0,77
1587361500,3,1,C3,3000,移动,3,154
1587361500,3,1,C5,3000,海外,0,3
1587361500,3,1,C8,3000,未知,0,3
1587361500,3,0,C8,500,海外,0,2
1587361500,3,0,C2,0,阿里云,0,3
1587361500,5,0,C3,3000,移动,0,3
1587361500,3,1,C1,500,电信,63,246
1587361500,5,1,C3,3000,海外,0,5
1587361500,5,0,C3,500,联通,4,30
1587361500,3,0,C1,500,电信,2,8
1587361500,3,1,C5,0,联通,0,1
1587361500,3,0,C6,500,移动,7,23
1587361500,5,1,C8,500,移动,0,6
1587361500,5,0,C5,500,电信,1,3
1587361500,3,0,C1,0,电信,0,15
1587361500,5,0,C6,3000,联通,0,5
1587361500,5,0,C1,500,电信,3,12
1587361500,5,1,C3,3000,电信,1,54
1587361500,3,1,C8,3000,移动,0,293
1587361500,3,0,C7,3000,电信,2,21
1587361500,3,0,C6,500,电信,7,27
1587361500,5,1,C1,500,移动,20,82
1587361500,3,0,C6,500,联通,1,10
1587361500,3,1,C8,3000,联通,1,345
1587361500,5,0,C2,0,电信,0,21
1587361500,5,1,C1,3000,小运营商,0,3
1587361500,5,0,C1,500,移动,1,6
1587361500,3,0,C1,500,移动,1,3
1587361500,5,0,C1,3000,联通,0,3
1587361500,3,0,C2,-1,移动,0,1
1587361500,5,1,C1,3000,联通,3,62
1587361500,3,0,C5,3000,小运营商,0,3
1587361500,5,0,C2,500,移动,3,12
1587361500,5,1,C8,3000,联通,0,3
1587361500,5,0,C1,0,移动,0,6
1587361500,3,0,C8,3000,联通,0,7
1587361500,3,0,C6,3000,小运营商,0,12
1587361500,3,1,C1,500,移动,64,228
1587361500,3,1,C8,3000,海外,0,8
1587361500,3,0,C6,3000,移动,2,115
1587361500,3,0,C3,3000,电信,0,6
1587361500,3,1,C5,3000,移动,0,89
1587361500,3,1,C3,3000,电信,7,222
1587361500,3,1,C1,3000,联通,6,266
1587361500,3,0,C2,3000,小运营商,0,3
1587361500,8,1,C3,3000,电信,0,1
1587361500,3,0,C2,3000,电信,0,21
1587361500,3,0,C2,3000,移动,0,6
1587361500,3,0,C5,3000,移动,0,2
1587361500,3,1,C1,500,教育网,0,3
1587361500,3,1,C5,3000,电信,2,102
1587361500,5,1,C5,3000,移动,0,15
1587361500,3,0,C5,500,移动,1,3
1587361500,3,0,C2,0,小运营商,0,6
1587361500,3,0,C8,500,移动,0,6
1587361500,3,1,C5,3000,小运营商,1,21
1587361500,3,1,C5,500,电信,8,24
1587361500,3,1,C3,500,小运营商,2,9
1587361500,3,1,C3,500,移动,8,82
1587361500,5,0,C3,3000,联通,0,28
1587361500,5,0,C6,3000,移动,0,9
1587361500,3,1,C3,3000,小运营商,4,16
1587361500,3,0,C1,0,移动,0,18
1587361500,3,1,C1,3000,电信,16,497
1587361560,5,0,C2,3000,电信,0,9
1587361560,5,0,C2,500,移动,7,12
1587361560,3,1,C3,500,联通,8,50
1587361560,5,1,C3,3000,电信,0,35
1587361560,3,1,C8,500,小运营商,0,15
1587361560,3,0,C8,500,电信,0,1
1587361560,5,0,C1,0,电信,0,3
1587361560,5,1,C3,3000,联通,1,44
1587361560,5,0,C2,3000,移动,0,3
1587361560,3,1,C8,500,电信,0,164
1587361560,3,1,C1,500,电信,157,235
1587361560,5,1,C1,3000,小运营商,0,3
1587361560,5,0,C2,500,电信,2,7
1587361560,3,1,C1,500,教育网,2,3
1587361560,3,1,C5,500,电信,14,21
1587361560,3,0,C2,0,电信,4,118
1587361560,5,1,C5,3000,移动,0,15
1587361560,5,1,C3,500,电信,3,33
1587361560,3,1,C5,500,联通,7,12
1587361560,3,0,C7,3000,移动,0,9
1587361560,3,0,C6,3000,小运营商,0,9
1587361560,3,0,C5,3000,电信,0,11
1587361560,5,0,C2,0,移动,0,12
1587361560,5,0,C6,3000,小运营商,0,3
1587361560,3,0,C1,0,移动,0,19
1587361560,3,1,C8,3000,移动,2,282
1587361560,3,1,C8,3000,教育网,0,2
1587361560,3,0,C8,500,移动,0,6
1587361560,3,0,C7,3000,电信,0,22
1587361560,5,1,C5,3000,联通,0,9
1587361560,3,0,C3,3000,电信,0,8
1587361560,3,0,C2,3000,移动,2,6
1587361560,3,0,C1,500,电信,6,10
1587361560,5,1,C1,3000,联通,2,61
1587361560,5,0,C1,500,移动,3,4
1587361560,3,0,C6,3000,联通,1,125
1587361560,3,0,C2,500,电信,13,20
1587361560,3,0,C2,0,移动,2,105
1587361560,5,0,C1,0,移动,0,6
1587361560,3,1,C8,3000,海外,0,7
1587361560,3,0,C5,500,电信,1,3
1587361560,5,1,C3,500,联通,0,4
1587361560,3,0,C6,3000,未知,0,2
1587361560,5,0,C5,500,电信,2,3
1587361560,3,1,C1,3000,联通,9,281
1587361560,5,0,C2,0,电信,0,21
1587361560,3,0,C1,0,电信,0,15
1587361560,3,1,C5,500,小运营商,4,6
1587361560,3,1,C5,3000,联通,1,60
1587361560,3,0,C3,500,移动,2,6
1587361560,3,0,C5,3000,小运营商,0,4
1587361560,5,1,C5,3000,电信,0,30
1587361560,3,1,C8,500,移动,0,76
1587361560,3,0,C7,500,电信,0,9
1587361560,3,0,C1,0,小运营商,0,3
1587361560,3,0,C1,500,小运营商,2,3
1587361560,5,1,C8,500,移动,0,4
1587361560,3,1,C8,500,联通,0,77
1587361560,3,1,C5,3000,小运营商,0,21
1587361560,3,1,C3,500,小运营商,0,6
1587361560,3,0,C6,500,联通,0,5
1587361560,3,0,C2,0,联通,1,84
1587361560,5,1,C1,500,小运营商,1,3
1587361560,3,0,C6,3000,海外,0,2
1587361560,3,0,C1,500,移动,2,3
1587361560,5,1,C5,3000,小运营商,0,3
1587361560,5,1,C1,500,联通,28,43
1587361560,3,0,C2,3000,小运营商,0,3
1587361560,3,1,C5,500,移动,7,12
1587361560,3,0,C7,3000,联通,0,6
1587361560,5,0,C6,3000,电信,0,23
1587361560,3,0,C3,3000,联通,0,3
1587361560,3,1,C1,500,联通,93,155
1587361560,5,1,C1,3000,电信,0,112
1587361560,5,1,C3,500,移动,9,29
1587361560,3,1,C1,3000,海外,2,9
1587361560,3,0,C1,500,联通,2,6
1587361560,5,1,C1,3000,移动,6,105
1587361560,5,1,C8,3000,联通,0,3
1587361560,3,0,C2,0,小运营商,0,6
1587361560,3,0,C1,0,联通,0,21
1587361560,5,0,C6,3000,移动,0,9
1587361560,3,1,C3,500,海外,1,4
1587361560,5,0,C6,3000,联通,0,6
1587361560,3,1,C8,3000,未知,0,3
1587361560,5,1,C5,500,电信,5,6
1587361560,5,1,C1,500,移动,50,81
1587361560,3,0,C8,3000,联通,0,8
1587361560,5,0,C3,500,联通,7,30
1587361560,3,0,C8,3000,电信,0,7
1587361560,5,1,C3,3000,海外,0,3
1587361560,3,0,C8,500,联通,0,10
1587361560,5,0,C3,3000,移动,0,3
1587361560,3,1,C3,3000,移动,3,153
1587361560,3,0,C2,500,联通,11,18
1587361560,5,0,C1,3000,电信,0,3
1587361560,3,0,C5,500,移动,2,3
1587361560,5,0,C2,3000,小运营商,0,3
1587361560,3,1,C8,3000,电信,1,774
1587361560,5,1,C3,3000,移动,0,22
1587361560,3,1,C5,3000,海外,0,3
1587361560,3,1,C3,3000,联通,5,148
1587361560,3,1,C5,3000,移动,3,90
1587361560,3,1,C1,3000,移动,7,389
1587361560,3,0,C6,3000,移动,0,108
1587361560,5,1,C1,500,电信,49,78
1587361560,3,1,C3,3000,海外,0,14
1587361560,3,1,C8,500,海外,0,2
1587361560,3,1,C3,500,电信,21,112
1587361560,5,0,C1,500,电信,6,12
1587361560,5,0,C2,0,联通,0,9
1587361560,5,0,C1,0,联通,0,43
1587361560,5,1,C1,3000,海外,0,3
1587361560,5,0,C1,500,联通,45,70
1587361560,3,0,C6,500,电信,10,26
1587361560,3,1,C1,500,小运营商,8,12
1587361560,5,1,C8,3000,电信,0,12
1587361560,5,0,C2,500,联通,4,6
1587361560,3,1,C8,3000,小运营商,0,52
1587361560,3,0,C3,3000,移动,0,2
1587361560,3,0,C2,0,阿里云,0,3
1587361560,3,1,C3,3000,电信,5,214
1587361560,3,0,C6,500,移动,8,22
1587361560,3,1,C1,500,移动,140,225
1587361560,3,1,C3,3000,小运营商,1,24
1587361560,3,0,C2,500,移动,15,24
1587361560,5,1,C8,500,电信,0,6
1587361560,3,1,C1,3000,电信,7,493
1587361560,3,1,C8,3000,联通,1,335
1587361560,3,1,C3,500,移动,21,85
1587361560,3,0,C8,3000,移动,0,2
1587361560,3,0,C2,3000,电信,0,21
1587361560,5,0,C1,3000,联通,0,3
1587361560,3,1,C5,3000,电信,0,98
1587361560,3,1,C1,3000,小运营商,6,38
1587361560,5,0,C8,500,电信,0,2
1587361560,5,0,C3,3000,联通,0,27
1587361560,3,0,C6,3000,电信,2,285
1587361560,5,0,C5,500,联通,1,3
1587361560,5,1,C5,500,联通,5,9
1587361620,3,0,C3,3000,联通,0,4
1587361620,3,1,C8,500,移动,0,75
1587361620,5,1,C3,3000,海外,0,2
1587361620,5,1,C5,500,电信,1,6
1587361620,3,1,C5,3000,小运营商,3,22
1587361620,3,1,C5,3000,电信,2,98
1587361620,3,0,C1,0,移动,1,24
1587361620,5,1,C3,500,移动,2,31
1587361620,3,1,C1,500,联通,19,156
1587361620,5,0,C2,500,联通,1,6
1587361620,3,0,C6,3000,海外,0,1
1587361620,5,0,C6,3000,电信,0,26
1587361620,3,0,C8,500,移动,0,6
1587361620,5,1,C3,0,电信,0,1
1587361620,5,1,C1,3000,小运营商,0,6
1587361620,3,1,C3,500,小运营商,0,7
1587361620,5,0,C2,500,移动,3,12
1587361620,3,1,C1,500,电信,33,223
1587361620,3,0,C2,500,电信,8,21
1587361620,5,0,C1,500,移动,1,3
1587361620,3,1,C8,500,小运营商,0,14
1587361620,3,0,C7,3000,联通,0,6
1587361620,3,0,C2,500,移动,3,24
1587361620,3,1,C5,500,移动,0,12
1587361620,5,0,C2,3000,移动,0,3
