min,cdn,bitrate,p2p,value,cnt
1575345660,8,2000,1,0,49
1575345660,1,1200,0,0,3
1575345660,1,0,0,0,24
1575345660,8,1200,1,0,21
1575345660,5,500,0,1,53
1575345660,5,500,1,0,85
1575345660,3,2000,0,0,420
1575345660,5,2000,1,1,457
1575345660,3,0,0,0,137
1575345660,3,0,1,0,1
1575345660,5,2000,0,1,331
1575345660,1,2000,0,0,2
1575345660,8,0,0,0,6
1575345660,1,2000,1,0,118
1575345660,5,1200,1,1,85
1575345660,5,1200,0,1,118
1575345660,5,0,0,0,36
1575345660,3,500,1,6,669
1575345660,3,500,0,0,7
1575345660,1,1200,1,2,15
1575345660,3,2000,1,26,2866
1575345660,5,0,1,0,1
1575345660,3,-1,0,0,1
1575345660,8,2000,0,0,4
1575345660,3,1200,1,5,476
1575345660,3,1200,0,0,49
1575345660,4,2000,0,0,1
1575345660,1,500,1,0,26
1575345660,8,500,1,0,15
1575345720,3,0,0,1,134
1575345720,1,500,1,0,24
1575345720,5,500,0,2,55
1575345720,5,500,1,0,88
1575345720,8,2000,0,0,6
1575345720,5,1200,1,3,94
1575345720,8,2000,1,0,52
1575345720,5,2000,1,5,453
1575345720,1,1200,1,1,18
1575345720,3,0,1,0,1
1575345720,8,500,1,0,15
1575345720,3,2000,1,35,2889
1575345720,1,0,0,4,27
1575345720,5,2000,0,2,334
1575345720,3,500,1,5,664
1575345720,3,500,0,0,8
1575345720,8,1200,1,0,18
1575345720,5,0,1,0,2
1575345720,1,2000,1,1,117
1575345720,8,0,0,0,6
1575345720,3,2000,0,1,432
1575345720,5,1200,0,1,111
1575345720,3,1200,1,18,490
1575345720,3,1200,0,0,43
1575345720,5,0,0,1,33
1575345720,1,2000,0,0,3
1575345780,3,500,0,1,11
1575345780,5,0,0,0,35
1575345780,8,2000,1,0,56
1575345780,8,2000,0,0,3
1575345780,3,2000,0,1,423
1575345780,5,500,1,1,89
1575345780,5,1200,0,3,112
1575345780,255,4294967,0,0,1
1575345780,1,0,0,1,25
1575345780,3,2000,1,37,2933
1575345780,3,1200,0,0,41
1575345780,8,500,1,0,15
1575345780,5,2000,1,9,485
1575345780,1,1200,1,0,22
1575345780,5,500,0,2,53
1575345780,3,500,1,12,674
1575345780,3,0,1,0,1
1575345780,5,1200,1,0,100
1575345780,1,2000,1,1,128
1575345780,8,0,0,0,6
1575345780,5,2000,0,6,324
1575345780,3,1200,1,10,497
1575345780,3,0,0,0,135
1575345780,1,500,1,0,24
1575345780,8,1200,1,0,15
1575345780,1,2000,0,0,5
1575345840,3,2000,1,37,2985
1575345840,8,0,0,1,4
1575345840,3,500,0,0,13
1575345840,3,1200,0,0,45
1575345840,8,500,1,0,15
1575345840,1,0,0,1,26
1575345840,3,0,1,0,1
1575345840,1,2000,0,0,4
1575345840,5,2000,1,8,489
1575345840,8,2000,0,0,4
1575345840,5,1200,0,1,112
1575345840,8,1200,1,0,15
1575345840,1,1200,1,0,27
1575345840,1,500,1,0,24
1575345840,3,2000,0,2,433
1575345840,5,0,1,0,3
1575345840,8,2000,1,0,56
1575345840,3,0,0,1,132
1575345840,1,2000,1,1,130
1575345840,5,500,0,0,57
1575345840,5,500,1,4,90
1575345840,3,500,1,16,691
1575345840,3,1200,1,8,510
1575345840,5,2000,0,1,326
1575345840,5,1200,1,2,106
1575345840,5,0,0,0,36
1575345900,3,0,0,0,136
1575345900,8,0,0,0,3
1575345900,1,0,0,1,28
1575345900,5,2000,0,3,340
1575345900,3,500,0,0,11
1575345900,1,2000,1,2,139
1575345900,3,1200,0,0,47
1575345900,3,0,1,0,1
1575345900,3,1200,1,6,508
1575345900,5,1200,1,1,100
1575345900,5,500,0,0,67
1575345900,3,2000,0,2,421
1575345900,5,0,0,1,38
1575345900,5,1200,0,1,123
1575345900,3,500,1,15,725
1575345900,1,1200,1,0,30
1575345900,1,2000,0,0,4
1575345900,8,1200,1,0,15
1575345900,8,2000,0,0,5
1575345900,5,500,1,2,96
1575345900,3,2000,1,43,3087
1575345900,5,2000,1,6,509
1575345900,8,500,1,0,15
1575345900,1,500,1,0,21
1575345900,8,2000,1,0,58
1575345960,8,0,0,0,3
1575345960,3,500,0,0,21
1575345960,5,0,0,0,39
1575345960,8,2000,0,0,3
1575345960,8,2000,1,0,60
1575345960,3,1200,0,0,45
1575345960,3,1200,1,8,534
1575345960,5,0,1,0,1
1575345960,5,500,0,2,70
1575345960,3,2000,1,42,3119
1575345960,1,0,0,1,24
1575345960,1,500,1,0,20
1575345960,5,2000,1,9,547
1575345960,1,2000,0,0,3
1575345960,1,2000,1,1,127
1575345960,5,500,1,5,95
1575345960,3,0,0,0,133
1575345960,8,1200,1,0,17
1575345960,5,1200,0,2,120
1575345960,5,2000,0,2,344
1575345960,3,2000,0,1,424
1575345960,3,500,1,19,692
1575345960,5,1200,1,3,93
1575345960,1,1200,1,0,27
1575345960,8,500,1,0,15
1575346020,5,0,0,0,40
1575346020,5,1200,1,1,108
1575346020,1,500,0,0,1
1575346020,8,1200,1,0,15
1575346020,3,0,1,0,1
1575346020,8,500,1,0,18
1575346020,3,2000,1,40,3338
1575346020,1,0,0,2,24
