min,cdn,p2p,bitrate,device,value,cnt
1585016760,8,1,500,C8,2,905
1585016760,5,0,500,C2,1,32
1585016760,3,0,500,C6,0,4
1585016760,5,1,2500,C8,0,29
1585016760,8,1,8000,C6,0,5
1585016760,3,1,4500,C8,0,67
1585016760,3,0,8000,C3,0,3
1585016760,8,1,8000,C1,11,812
1585016760,3,0,4500,C6,2,26
1585016760,8,0,4500,C6,39,1231
1585016760,8,0,2500,C6,8,276
1585016760,15,0,500,C2,0,1
1585016760,8,1,8000,C3,1,249
1585016760,3,0,8000,C2,1,13
1585016760,3,1,2500,C8,0,52
1585016760,8,1,2500,C1,244,9965
1585016760,3,0,2500,C5,0,3
1585016760,8,0,4500,C7,2,40
1585016760,8,0,8000,C5,0,3
1585016760,3,1,4500,C1,26,545
1585016760,5,0,500,C3,0,120
1585016760,5,1,8000,C3,1,34
1585016760,3,1,8000,C3,1,34
1585016760,5,1,2500,C3,16,488
1585016760,5,1,4500,C5,0,3
1585016760,8,0,500,C1,6,108
1585016760,3,1,2500,C1,43,692
1585016760,3,0,500,C8,0,10
1585016760,8,0,500,C6,7,92
1585016760,5,0,2500,C3,4,458
1585016760,3,0,500,C1,0,19
1585016760,8,0,8000,C8,0,9
1585016760,5,0,500,C8,0,3
1585016760,3,0,4500,C1,0,10
1585016760,8,0,4500,C1,7,116
1585016760,3,0,2500,C2,13,140
1585016760,3,0,2500,C8,0,15
1585016760,5,0,500,C5,0,3
1585016760,8,1,500,C3,23,733
1585016760,8,1,2500,C6,0,12
1585016760,3,1,500,C5,1,15
1585016760,5,0,4500,C6,0,25
1585016760,5,1,4500,C3,13,442
1585016760,5,1,500,C5,0,9
1585016760,8,0,500,C8,1,79
1585016760,5,1,2500,C1,43,1960
1585016760,3,1,4500,C3,6,201
1585016760,3,0,4500,C7,2,18
1585016760,3,1,500,C3,8,119
1585016760,8,0,2500,C8,1,88
1585016760,5,0,2500,C6,1,18
1585016760,8,1,4500,C1,117,5505
1585016760,8,0,0,C2,24,766
1585016760,8,0,500,C7,4,80
1585016760,3,0,500,C7,0,9
1585016760,3,1,8000,C6,0,6
1585016760,5,0,8000,C3,0,8
1585016760,3,1,4500,C5,0,6
1585016760,3,0,2500,C6,3,20
1585016760,8,1,0,C5,0,4
1585016760,5,0,4500,C2,2,43
1585016760,3,0,8000,C6,3,56
1585016760,255,0,4294967,C1,0,1
1585016760,5,1,500,C1,9,349
1585016760,8,1,2500,C5,20,1310
1585016760,8,0,500,C3,0,47
1585016760,5,1,4500,C8,0,41
1585016760,3,0,8000,C7,3,27
1585016760,5,0,2500,C5,0,6
1585016760,8,0,8000,C6,9,335
1585016760,8,1,500,C1,63,2048
1585016760,8,1,8000,C5,4,126
1585016760,3,1,8000,C1,9,113
1585016760,8,0,2500,C1,26,305
1585016760,4,1,0,C3,1,1
1585016760,3,1,2500,C5,10,185
1585016760,8,1,8000,C8,1,208
1585016760,3,0,4500,C8,0,6
1585016760,5,1,8000,C1,0,157
1585016760,5,0,2500,C7,0,1
1585016760,8,0,8000,C2,1,42
1585016760,3,1,2500,C3,5,251
1585016760,5,1,4500,C1,22,1279
1585016760,8,1,4500,C8,7,2905
1585016760,5,0,2500,C1,7,1055
1585016760,8,0,2500,C2,66,984
1585016760,8,0,4500,C3,2,15
1585016760,8,0,8000,C7,3,186
1585016760,5,0,8000,C6,0,5
1585016760,8,1,4500,C6,0,60
1585016760,5,0,4500,C1,0,40
1585016760,5,0,0,C2,0,1
1585016760,3,0,2500,C3,3,35
1585016760,8,1,500,C6,0,6
1585016760,8,0,0,C1,6,68
1585016760,8,1,4500,C5,0,24
1585016760,5,1,500,C3,15,171
1585016760,8,0,500,C2,19,258
1585016760,8,1,2500,C8,4,1613
1585016760,5,1,8000,C5,1,17
1585016760,5,0,2500,C8,0,4
1585016760,5,0,2500,C2,15,96
1585016760,3,1,500,C1,2,128
1585016760,3,1,500,C8,0,11
1585016760,3,0,0,C8,2,2
1585016760,3,0,500,C2,4,41
1585016760,8,0,2500,C5,2,15
1585016760,5,1,2500,C5,6,161
1585016760,5,1,0,C5,0,8
1585016760,3,1,8000,C8,0,29
1585016760,8,0,2500,C3,1,56
1585016760,3,0,8000,C8,0,11
1585016760,5,0,500,C1,1,419
1585016760,3,1,0,C5,0,4
1585016760,6,0,0,C2,0,1
1585016760,8,0,4500,C8,2,160
1585016760,8,0,4500,C2,4,461
1585016760,3,1,8000,C5,3,30
1585016760,8,0,-1,C2,1,1
1585016760,8,0,2500,C7,0,69
1585016760,5,1,500,C8,0,6
1585016760,3,0,0,C2,2,200
1585016760,3,0,4500,C2,1,68
1585016760,8,1,0,C3,0,1
1585016760,8,0,500,C5,0,27
1585016760,3,0,2500,C1,2,55
1585016760,8,1,2500,C3,62,2692
1585016760,3,0,500,C3,0,10
1585016760,8,1,4500,C3,57,2955
1585016760,5,0,4500,C3,0,45
1585016760,3,0,500,C5,0,5
1585016760,3,0,2500,C7,0,6
1585016760,8,1,500,C4,0,3
1585016760,4,1,2500,C3,0,2
1585016760,8,1,500,C5,2,55
1585016760,8,0,8000,C3,1,11
1585016760,255,2,0,C8,0,3
1585016820,6,0,0,C2,0,1
