min,value,cnt,cdn,bitrate,p2p,isp
1596758100,2,81,7,4000,0,电信
1596758100,1,81,7,2000,1,联通
1596758100,0,16,7,2000,1,海外
1596758100,0,41,7,10000,1,移动
1596758100,0,74,7,2000,0,电信
1596758100,9,120,7,2000,0,移动
1596758100,0,29,7,10000,1,电信
1596758100,1,65,7,4000,1,联通
1596758100,0,52,5,2000,0,联通
1596758100,1,60,7,4000,0,移动
1596758100,1,43,7,0,0,移动
1596758100,0,25,7,0,0,联通
1596758100,1,14,7,2000,1,小运营商
1596758100,1,29,7,0,0,电信
1596758100,4,50,7,4000,0,联通
1596758100,3,160,7,4000,1,移动
1596758100,2,47,7,2000,0,联通
1596758100,7,230,7,2000,1,电信
1596758100,2,33,7,500,1,电信
1596758100,6,235,7,2000,1,移动
1596758100,0,13,7,10000,1,联通
1596758100,16,156,7,4000,1,电信
1596758100,2,13,7,4000,1,小运营商
1596758100,2,40,7,500,1,移动
1596758160,10,217,7,2000,1,移动
1596758160,1,32,7,10000,1,移动
1596758160,1,12,7,2000,1,海外
1596758160,0,13,7,4000,1,小运营商
1596758160,2,62,7,2000,0,电信
1596758160,6,96,7,2000,0,移动
1596758160,0,27,7,10000,1,电信
1596758160,0,15,7,10000,1,联通
1596758160,0,40,7,500,1,移动
1596758160,7,70,7,4000,1,联通
1596758160,0,26,7,500,1,电信
1596758160,0,48,5,2000,0,联通
1596758160,3,45,7,4000,0,移动
1596758160,0,14,7,2000,1,小运营商
1596758160,1,22,7,0,0,联通
1596758160,1,42,7,2000,0,联通
1596758160,3,75,7,4000,0,电信
1596758160,8,222,7,2000,1,电信
1596758160,7,140,7,4000,1,电信
1596758160,5,41,7,4000,0,联通
1596758160,3,178,7,4000,1,移动
1596758160,0,79,7,2000,1,联通
1596758160,0,40,7,0,0,移动
1596758160,0,11,7,500,1,联通
1596758160,0,25,7,0,0,电信
1596758220,2,199,7,2000,1,移动
1596758220,1,52,5,2000,0,联通
1596758220,2,81,7,2000,1,联通
1596758220,4,218,7,2000,1,电信
1596758220,2,33,7,10000,1,移动
1596758220,0,22,7,500,1,电信
1596758220,6,77,7,4000,1,联通
1596758220,12,160,7,4000,1,电信
1596758220,0,39,7,500,1,移动
1596758220,3,69,7,2000,0,电信
1596758220,1,33,7,10000,1,电信
1596758220,3,96,7,2000,0,移动
1596758220,0,14,7,10000,1,联通
1596758220,5,45,7,2000,0,联通
1596758220,6,38,7,4000,0,移动
1596758220,8,175,7,4000,1,移动
1596758220,2,46,7,0,0,移动
1596758220,0,15,7,0,0,联通
1596758220,0,13,7,4000,1,小运营商
1596758220,0,27,7,0,0,电信
1596758220,0,15,7,2000,1,小运营商
1596758220,6,69,7,4000,0,电信
1596758220,3,33,7,4000,0,联通
1596758280,0,11,7,2000,1,海外
1596758280,0,15,7,4000,1,小运营商
1596758280,0,57,5,2000,0,联通
1596758280,0,29,7,0,0,电信
1596758280,10,235,7,2000,1,电信
1596758280,1,18,7,0,0,联通
1596758280,2,72,7,4000,0,电信
1596758280,3,83,7,2000,0,电信
1596758280,4,34,7,10000,1,移动
1596758280,0,38,7,10000,1,电信
1596758280,3,95,7,2000,1,联通
1596758280,1,12,7,500,1,联通
1596758280,4,103,7,4000,1,联通
1596758280,4,104,7,2000,0,移动
1596758280,5,52,7,4000,0,移动
1596758280,2,49,7,0,0,移动
1596758280,1,27,7,500,1,电信
1596758280,1,40,7,500,1,移动
1596758280,1,44,7,2000,0,联通
1596758280,0,15,7,10000,1,联通
1596758280,4,34,7,4000,0,联通
1596758280,6,207,7,4000,1,移动
1596758280,10,226,7,2000,1,移动
1596758280,0,15,7,2000,1,小运营商
1596758280,11,196,7,4000,1,电信
1596758340,0,12,5,500,0,联通
1596758340,3,57,7,2000,0,联通
1596758340,4,73,7,4000,0,移动
1596758340,2,221,7,4000,1,移动
1596758340,0,15,7,4000,1,小运营商
1596758340,1,12,3,10000,1,移动
1596758340,0,18,7,0,0,联通
1596758340,9,221,7,4000,1,电信
1596758340,4,75,7,4000,0,电信
1596758340,0,20,7,10000,1,联通
1596758340,3,115,7,4000,1,联通
1596758340,0,64,5,2000,0,联通
1596758340,1,54,7,0,0,移动
1596758340,7,84,7,2000,0,电信
1596758340,3,11,7,2000,1,海外
1596758340,1,43,7,500,1,移动
1596758340,77,231,7,2000,1,电信
1596758340,0,31,7,10000,1,移动
1596758340,0,38,7,10000,1,电信
1596758340,3,37,7,4000,0,联通
1596758340,1,26,7,500,1,电信
1596758340,3,33,7,0,0,电信
1596758340,7,109,7,2000,0,移动
1596758340,78,258,7,2000,1,移动
1596758340,28,116,7,2000,1,联通
