min,cdn,bitrate,p2p,value,cnt
1575487440,3,2000,0,0,9
1575487440,7,6000,0,0,20
1575487440,5,500,1,1,47
1575487440,7,1200,1,6,294
1575487440,3,2000,1,1,87
1575487440,5,4000,0,0,9
1575487440,7,0,0,0,6
1575487440,7,500,1,3,287
1575487440,5,1200,1,1,42
1575487440,7,2000,0,2,24
1575487440,5,500,0,0,54
1575487440,7,2000,1,14,1028
1575487440,7,4000,0,0,6
1575487440,3,4000,1,2,57
1575487440,5,1200,0,0,43
1575487440,7,500,0,0,51
1575487440,5,6000,1,0,9
1575487440,5,4000,1,0,121
1575487440,7,6000,1,0,102
1575487440,3,500,1,0,12
1575487440,3,6000,1,0,21
1575487440,3,0,0,0,3
1575487440,5,2000,0,0,186
1575487440,5,2000,1,2,143
1575487440,7,4000,1,7,735
1575487440,3,1200,1,0,29
1575487500,5,500,0,1,51
1575487500,7,500,1,4,277
1575487500,3,1200,1,0,27
1575487500,7,6000,0,0,23
1575487500,5,1200,0,1,45
1575487500,7,500,0,0,51
1575487500,3,2000,0,0,9
1575487500,5,4000,1,0,132
1575487500,5,2000,1,0,146
1575487500,3,0,0,0,3
1575487500,7,2000,0,0,24
1575487500,3,2000,1,1,85
1575487500,3,4000,1,1,57
1575487500,7,4000,1,3,749
1575487500,5,4000,0,0,11
1575487500,7,0,0,2,6
1575487500,7,6000,1,0,85
1575487500,5,500,1,3,48
1575487500,7,1200,1,3,280
1575487500,5,6000,1,0,12
1575487500,3,6000,1,0,21
1575487500,7,4000,0,0,6
1575487500,7,2000,1,11,1016
1575487500,3,500,1,0,12
1575487500,5,1200,1,1,40
1575487500,5,2000,0,2,186
1575487560,5,4000,1,0,117
1575487560,5,1200,1,0,40
1575487560,3,2000,0,0,9
1575487560,7,2000,0,0,23
1575487560,3,1200,1,0,25
1575487560,7,2000,1,12,993
1575487560,5,2000,1,1,166
1575487560,3,2000,1,2,80
1575487560,7,500,0,0,50
1575487560,5,500,1,0,47
1575487560,5,6000,1,0,12
1575487560,7,500,1,3,290
1575487560,5,1200,0,0,39
1575487560,7,4000,0,0,4
1575487560,5,2000,0,0,171
1575487560,7,0,0,0,6
1575487560,7,4000,1,3,745
1575487560,5,500,0,0,50
1575487560,3,4000,1,3,55
1575487560,3,6000,1,0,19
1575487560,7,6000,1,0,88
1575487560,5,4000,0,0,12
1575487560,3,500,1,0,10
1575487560,7,1200,1,3,274
1575487560,3,0,0,0,3
1575487560,7,6000,0,0,22
1575487560,7,1200,0,1,4
1575487620,5,2000,1,1,160
1575487620,3,4000,1,1,51
1575487620,7,6000,0,3,22
1575487620,5,500,0,0,48
1575487620,5,500,1,0,47
1575487620,5,2000,0,0,146
1575487620,7,500,0,0,48
1575487620,7,2000,0,0,20
1575487620,7,4000,1,9,712
1575487620,7,500,1,3,298
1575487620,7,4000,0,0,5
1575487620,5,4000,0,0,12
1575487620,5,1200,0,1,37
1575487620,3,1200,1,0,24
1575487620,7,1200,1,3,255
1575487620,5,4000,1,0,105
1575487620,3,2000,1,1,75
1575487620,5,6000,1,0,12
1575487620,7,1200,0,2,5
1575487620,3,500,1,0,6
1575487620,5,1200,1,0,44
1575487620,7,0,0,0,6
1575487620,7,6000,1,1,81
1575487620,3,6000,1,0,15
1575487620,7,2000,1,8,936
1575487620,3,2000,0,0,9
1575487620,3,0,0,0,3
1575487680,5,500,0,0,50
1575487680,5,1200,0,0,41
1575487680,7,1200,0,0,4
1575487680,5,6000,1,0,12
1575487680,5,1200,1,0,39
1575487680,3,4000,1,3,54
1575487680,5,4000,0,0,12
1575487680,3,1200,1,0,24
1575487680,3,500,1,0,7
1575487680,7,6000,1,1,87
1575487680,7,4000,0,0,5
1575487680,3,0,0,0,3
1575487680,5,2000,0,0,144
1575487680,7,0,0,1,6
1575487680,7,4000,1,6,710
1575487680,7,500,1,3,293
1575487680,3,2000,1,1,75
1575487680,3,6000,1,0,15
1575487680,7,2000,1,4,987
1575487680,7,500,0,0,48
1575487680,3,2000,0,0,6
1575487680,7,6000,0,0,18
1575487680,7,1200,1,2,256
1575487680,5,4000,1,2,106
1575487680,7,2000,0,0,16
1575487680,5,500,1,0,44
1575487680,5,2000,1,0,160
1575487740,5,2000,0,3,161
1575487740,5,500,0,0,51
1575487740,5,1200,0,0,47
1575487740,5,6000,1,0,12
1575487740,7,4000,1,3,719
1575487740,7,500,1,1,301
1575487740,5,500,1,0,44
1575487740,3,4000,1,4,55
1575487740,5,1200,1,0,39
1575487740,5,4000,0,0,10
1575487740,5,4000,1,0,110
1575487740,3,0,0,0,3
1575487740,3,6000,1,0,15
1575487740,3,2000,0,0,6
1575487740,7,6000,1,2,89
1575487740,5,2000,1,0,162
1575487740,7,2000,0,0,15
1575487740,3,1200,1,0,24
1575487740,7,6000,0,0,20
1575487740,7,0,0,0,6
1575487740,3,2000,1,1,79
1575487740,7,4000,0,0,9
1575487740,7,2000,1,7,1004
1575487740,7,1200,0,0,3
1575487740,3,500,1,0,12
1575487740,7,500,0,0,47
1575487740,7,1200,1,0,264
1575487800,3,1200,1,0,27
1575487800,7,500,0,0,47
1575487800,5,500,1,1,45
1575487800,3,0,0,0,3
1575487800,3,6000,1,0,15
1575487800,7,2000,1,5,993
1575487800,7,2000,0,1,22
1575487800,5,1200,0,0,55
1575487800,5,6000,1,0,12
1575487800,5,2000,0,2,160
1575487800,7,0,0,1,6
1575487800,3,2000,1,0,86
1575487800,3,4000,1,0,55
1575487800,7,500,1,7,303
1575487800,3,2000,0,0,9
1575487800,7,1200,0,1,3
1575487800,7,1200,1,2,272
1575487800,5,500,0,0,51
1575487800,7,6000,0,0,20
1575487800,5,2000,1,0,157
1575487800,3,500,1,0,15
1575487800,7,4000,1,6,732
1575487800,5,4000,1,0,111
1575487800,5,1200,1,0,34
1575487800,5,4000,0,0,9
1575487800,7,4000,0,0,9
1575487800,7,6000,1,4,103
1575487860,3,1200,0,0,1
1575487860,5,500,1,0,44
1575487860,7,1200,0,0,3
1575487860,3,4000,1,0,60
1575487860,5,6000,1,0,12
1575487860,7,2000,0,3,16
1575487860,5,2000,1,3,163
1575487860,5,500,0,0,43
1575487860,7,1200,1,2,275
1575487860,3,1200,1,0,27
1575487860,7,4000,0,0,10
1575487860,5,4000,1,0,110
1575487860,7,6000,0,0,21
1575487860,7,4000,1,2,715
1575487860,3,0,0,0,4
1575487860,5,2000,0,0,142
1575487860,7,500,1,4,294
1575487860,5,4000,0,0,9
1575487860,5,1200,0,0,59
1575487860,3,500,1,0,15
1575487860,3,2000,0,0,8
1575487860,3,6000,1,0,15
1575487860,7,2000,1,10,987
1575487860,7,0,0,0,6
1575487860,7,6000,1,1,88
1575487860,7,500,0,0,50
1575487860,3,2000,1,1,81
1575487860,5,1200,1,0,34
1575487920,7,6000,0,0,21
1575487920,3,1200,0,0,3
1575487920,7,2000,0,3,12
1575487920,5,1200,1,0,34
1575487920,3,2000,1,0,78
1575487920,3,2000,0,0,6
1575487920,5,500,0,0,40
1575487920,7,500,0,0,50
1575487920,7,4000,1,3,701
1575487920,3,6000,1,0,15
1575487920,7,4000,0,1,10
1575487920,3,0,0,0,2
1575487920,7,0,0,1,6
1575487920,7,1200,0,1,3
1575487920,7,2000,1,5,958
1575487920,7,6000,1,0,85
1575487920,7,500,1,3,280
1575487920,3,4000,1,0,57
1575487920,7,1200,1,0,241
1575487920,5,1200,0,1,53
1575487920,5,6000,1,0,12
1575487920,3,1200,1,0,27
1575487920,5,2000,1,2,168
1575487920,3,500,1,0,15
1575487920,5,2000,0,0,126
1575487920,5,4000,1,0,111
1575487920,5,4000,0,0,9
1575487920,5,500,1,0,41
1575487980,7,2000,0,3,9
1575487980,5,4000,0,0,9
1575487980,7,6000,0,2,19
1575487980,8,0,1,0,1
1575487980,5,500,1,0,39
1575487980,5,6000,1,0,8
1575487980,5,2000,0,0,105
1575487980,3,0,0,0,1
1575487980,7,4000,1,2,680
1575487980,7,4000,0,2,9
1575487980,7,0,0,0,6
1575487980,3,2000,0,0,6
1575487980,3,500,1,0,10
1575487980,3,2000,1,0,69
1575487980,7,500,1,3,250
1575487980,5,1200,0,0,33
1575487980,7,1200,1,2,216
1575487980,3,1200,1,0,24
1575487980,3,4000,1,0,44
1575487980,3,6000,1,1,12
1575487980,5,4000,1,1,112
1575487980,3,500,0,0,2
1575487980,5,2000,1,1,146
1575487980,7,2000,1,6,860
1575487980,3,1200,0,0,2
1575487980,5,1200,1,0,29
1575487980,7,1200,0,0,3
1575487980,7,6000,1,0,63
1575487980,5,500,0,0,38
1575487980,7,500,0,0,48
1575488040,3,500,1,2,10
1575488040,3,2000,1,31,78
1575488040,5,6000,1,0,7
1575488040,7,0,0,3,6
1575488040,5,500,0,3,36
1575488040,3,6000,1,0,12
1575488040,7,2000,0,6,10
1575488040,7,500,1,61,250
