min,cdn,p2p,bitrate,device,value,cnt
1581935820,5,1,4500,C3,6,114
1581935820,5,0,2500,C2,19,84
1581935820,3,0,2500,C2,11,130
1581935820,5,0,4500,C1,0,7
1581935820,8,0,10000,C6,1,226
1581935820,5,1,500,C1,2,75
1581935820,8,1,2500,C1,57,2817
1581935820,8,1,4500,C8,2,347
1581935820,8,1,10000,C1,17,265
1581935820,3,0,4500,C8,0,2
1581935820,8,1,10000,C8,1,103
1581935820,8,0,2500,C8,0,7
1581935820,8,0,10000,C3,0,7
1581935820,5,0,500,C2,2,19
1581935820,5,1,10000,C3,0,17
1581935820,3,1,10000,C8,0,13
1581935820,5,1,2500,C8,0,4
1581935820,8,0,500,C8,0,9
1581935820,3,1,2500,C1,9,158
1581935820,8,0,4500,C7,0,9
1581935820,5,0,10000,C6,0,10
1581935820,3,1,4500,C3,4,87
1581935820,5,1,2500,C1,7,402
1581935820,5,1,10000,C8,0,21
1581935820,5,0,10000,C3,0,6
1581935820,3,0,0,C1,0,3
1581935820,5,0,500,C3,1,17
1581935820,3,1,0,C5,0,3
1581935820,8,0,500,C6,0,8
1581935820,8,0,0,C2,13,301
1581935820,8,0,2500,C7,0,3
1581935820,3,1,2500,C3,9,106
1581935820,5,1,4500,C1,10,340
1581935820,8,1,4500,C3,21,876
1581935820,8,0,500,C2,15,248
1581935820,5,1,4500,C5,0,3
1581935820,8,1,4500,C1,42,1600
1581935820,8,1,0,C5,0,1
1581935820,5,1,0,C5,0,1
1581935820,5,0,10000,C7,0,3
1581935820,3,1,2500,C5,0,21
1581935820,5,1,500,C3,2,36
1581935820,3,0,4500,C2,4,78
1581935820,8,0,4500,C6,2,80
1581935820,5,1,10000,C5,0,3
1581935820,8,0,4500,C2,5,177
1581935820,8,0,4500,C8,0,21
1581935820,3,0,4500,C6,0,11
1581935820,3,1,10000,C1,3,43
1581935820,3,0,500,C1,1,10
1581935820,8,1,2500,C8,1,111
1581935820,8,0,2500,C3,0,14
1581935820,8,0,500,C1,3,39
1581935820,8,1,2500,C5,3,275
1581935820,8,1,500,C3,5,146
1581935820,8,0,10000,C7,0,14
1581935820,3,0,500,C2,0,28
