min,cdn,bitrate,p2p,value,cnt
1573902720,5,2000,1,755,25118
1573902720,5,500,1,120,4488
1573902720,8,500,0,25,299
1573902720,8,2000,0,191,2896
1573902720,3,2000,1,25,532
1573902720,5,10000,0,20,1355
1573902720,3,500,0,1,48
1573902720,5,8000,0,0,3
1573902720,8,500,1,95,4262
1573902720,1,0,0,3,118
1573902720,8,4000,1,1598,14846
1573902720,5,1200,1,245,7199
1573902720,5,10000,1,278,10414
1573902720,3,4000,0,13,112
1573902720,1,1200,1,3,109
1573902720,5,0,0,38,1547
1573902720,1,8000,0,0,3
1573902720,7,500,0,0,1
1573902720,1,10000,0,2,226
1573902720,1,2000,1,25,451
1573902720,1,500,0,1,10
1573902720,255,0,2,60,168
1573902720,3,0,0,0,57
1573902720,8,0,1,1,2
1573902720,1,4000,0,18,159
1573902720,7,4000,0,0,1
1573902720,3,2000,0,13,285
1573902720,8,2000,1,599,22708
1573902720,3,4000,1,49,659
1573902720,4,10000,1,0,1
1573902720,8,10000,0,16,1049
1573902720,3,10000,1,43,968
1573902720,5,2000,0,249,8380
1573902720,8,1200,1,165,6713
1573902720,3,1200,0,1,96
1573902720,5,4000,1,2144,16770
1573902720,7,0,1,0,2
1573902720,3,0,1,0,2
1573902720,8,0,0,72,1343
1573902720,4,0,1,0,1
1573902720,1,4000,1,56,448
1573902720,7,1200,0,1,1
1573902720,1,2000,0,5,98
1573902720,1,500,1,7,76
1573902720,6,500,1,0,1
1573902720,7,2000,0,0,1
1573902720,1,10000,1,67,1343
1573902720,5,-1,0,1,3
1573902720,255,4294967,0,0,3
1573902720,1,1200,0,2,22
1573902720,1,0,1,0,3
1573902720,4,4000,1,1,4
1573902720,8,4000,0,304,2514
1573902720,5,1200,0,62,2592
1573902720,8,-1,0,0,1
1573902720,8,1200,0,34,708
1573902720,3,500,1,2,107
1573902720,5,4000,0,245,2746
1573902720,4,1200,1,2,2
1573902720,8,10000,1,325,10543
1573902720,5,500,0,29,1225
1573902720,3,1200,1,13,220
1573902720,3,10000,0,3,107
1573902780,7,0,1,0,1
1573902780,1,4000,0,18,184
1573902780,7,1200,0,0,1
1573902780,8,-1,0,0,4
1573902780,3,0,0,4,63
1573902780,3,4000,1,18,772
1573902780,8,0,1,0,1
1573902780,5,0,0,29,1597
1573902780,8,1200,0,43,704
1573902780,1,1200,0,2,24
1573902780,4,500,1,0,1
1573902780,1,1200,1,6,118
1573902780,1,4000,1,13,509
1573902780,8,10000,0,23,1049
1573902780,8,0,0,97,1363
1573902780,1,2000,1,24,489
1573902780,3,1200,1,15,239
1573902780,255,0,2,3,169
1573902780,1,500,0,0,13
1573902780,4,0,1,0,2
1573902780,1,500,1,6,77
1573902780,4,10000,1,0,1
1573902780,5,500,0,39,1326
1573902780,3,10000,0,0,109
1573902780,5,2000,1,784,25998
1573902780,5,4000,0,98,2723
1573902780,1,0,1,0,3
1573902780,8,10000,1,304,10513
1573902780,8,2000,1,614,23887
1573902780,3,0,1,0,6
1573902780,5,1200,0,75,2750
1573902780,3,500,1,6,109
1573902780,5,-1,0,0,3
1573902780,5,10000,1,285,10391
1573902780,1,0,0,3,122
1573902780,3,4000,0,11,110
1573902780,5,500,1,130,4705
1573902780,5,1200,1,219,7480
1573902780,8,4000,1,328,15363
1573902780,5,2000,0,220,8890
1573902780,5,10000,0,25,1376
1573902780,1,10000,1,58,1370
1573902780,8,500,0,26,303
1573902780,3,2000,1,32,595
1573902780,8,1200,1,178,7082
1573902780,3,2000,0,11,305
1573902780,255,4294967,0,0,4
1573902780,8,2000,0,200,2971
1573902780,1,2000,0,5,102
1573902780,3,500,0,0,46
1573902780,7,2000,1,0,1
1573902780,4,2000,1,0,1
1573902780,3,1200,0,4,113
1573902780,8,4000,0,122,2592
1573902780,1,10000,0,1,220
1573902780,1,8000,0,0,3
1573902780,8,500,1,82,4510
1573902780,5,4000,1,607,17538
1573902780,5,8000,0,0,5
1573902780,5,0,1,0,1
1573902780,3,10000,1,25,964
1573902840,8,500,0,27,320
1573902840,3,500,1,6,106
1573902840,7,-1,0,0,1
1573902840,5,4000,1,505,17003
1573902840,3,1200,1,10,241
1573902840,4,1200,1,0,1
1573902840,8,1200,0,38,681
1573902840,8,1200,1,141,6976
1573902840,3,1200,0,2,116
1573902840,5,4000,0,107,2724
1573902840,7,0,1,0,4
1573902840,1,0,1,0,3
1573902840,5,2000,1,692,25811
1573902840,8,10000,1,373,10397
1573902840,8,4000,1,369,15180
1573902840,3,4000,0,17,118
1573902840,5,1200,1,192,7340
1573902840,5,1200,0,50,2708
1573902840,8,2000,0,235,3016
1573902840,4,2000,1,0,4
1573902840,3,2000,1,23,597
1573902840,5,10000,0,25,1424
1573902840,5,8000,0,0,5
1573902840,3,500,0,1,45
1573902840,8,500,1,116,4462
1573902840,3,4000,1,31,781
1573902840,3,10000,0,1,115
1573902840,1,8000,0,0,3
1573902840,1,10000,0,0,218
1573902840,1,1200,1,5,109
1573902840,7,4000,0,0,1
1573902840,5,0,0,55,1631
1573902840,3,0,0,2,61
1573902840,8,4000,0,136,2635
1573902840,8,-1,0,0,1
1573902840,1,4000,0,19,190
1573902840,1,2000,1,24,486
1573902840,1,500,0,2,15
1573902840,255,0,2,48,166
1573902840,5,500,0,35,1293
1573902840,7,2000,1,0,1
1573902840,5,500,1,112,4672
1573902840,1,0,0,3,119
1573902840,5,2000,0,252,8850
1573902840,5,-1,0,0,2
1573902840,1,500,1,5,94
1573902840,1,2000,0,10,94
1573902840,5,10000,1,326,10239
1573902840,8,2000,1,595,23811
1573902840,7,2000,0,0,2
1573902840,1,4000,1,29,559
1573902840,5,0,1,0,2
1573902840,1,1200,0,7,29
1573902840,8,10000,0,24,1082
1573902840,3,10000,1,43,956
1573902840,255,4294967,0,0,5
1573902840,1,10000,1,71,1350
