min,cdn,bitrate,p2p,device,value,cnt
1569184860,3,1200,0,C3,0,10
1569184500,3,6000,0,C8,0,3
1569184320,1,1200,1,C8,0,3
1569184500,8,2000,0,C5,1,15
1569184440,3,2000,1,C1,1,123
1569184860,8,6000,0,C6,1,51
1569184440,8,500,0,C3,0,69
1569184560,255,0,2,C8,0,3
1569184440,5,2000,0,C1,3,1005
1569184500,5,6000,1,C8,0,6
1569184740,8,2000,0,C2,3,69
1569184860,8,4000,0,C6,2,329
1569184740,5,0,0,C3,0,1
1569184860,8,500,1,C5,0,18
1569184920,8,2000,1,C8,0,23
1569184560,8,2000,1,C3,70,6943
1569184380,3,1200,1,C1,0,21
1569184500,8,1200,1,C8,0,131
1569184560,3,500,0,C1,0,24
1569184500,3,4000,0,C8,0,4
1569184380,8,4000,0,C1,0,6
1569184380,5,1200,0,C1,0,332
1569184560,5,500,1,C1,1,86
1569184500,5,4000,1,C8,0,18
1569184860,5,1200,0,C6,0,1
1569184740,8,2000,0,C8,0,26
1569184860,1,4000,0,C6,0,4
1569184920,1,2000,1,C8,0,1
1569184620,3,6000,1,C3,0,24
1569184560,1,2000,1,C3,1,33
1569184680,3,500,1,C1,0,15
1569184320,3,6000,0,C8,0,3
1569184680,8,2000,0,C3,0,324
1569184800,5,2000,1,C5,0,3
1569184500,1,1200,1,C8,0,3
1569184320,5,6000,1,C8,0,6
1569184680,5,500,0,C1,5,279
1569184740,1,2000,0,C8,0,21
1569184620,5,6000,0,C3,0,20
1569184320,8,1200,1,C8,0,131
1569184320,3,4000,0,C8,1,6
1569184320,8,1200,0,C2,0,18
1569184620,8,1200,0,C3,0,69
1569184620,3,4000,1,C3,0,3
1569184860,1,6000,0,C6,0,7
1569184620,4,0,1,C3,0,1
1569184620,5,4000,0,C3,0,33
1569184320,5,4000,1,C8,3,20
1569184500,8,6000,1,C1,13,1655
1569184860,8,6000,0,C7,0,135
1569184560,8,6000,1,C5,0,156
1569184800,5,1200,0,C3,0,171
1569184320,8,4000,1,C3,3,278
1569184320,3,1200,0,C3,0,12
1569184440,1,2000,0,C8,0,17
1569184740,1,1200,1,C3,0,9
1569184620,5,500,1,C8,0,3
1569184800,8,4000,0,C3,0,11
1569184320,5,1200,1,C3,1,47
1569184320,8,500,0,C7,6,8
1569184800,3,1200,1,C3,1,12
1569184680,1,1200,1,C8,0,2
1569184800,3,2000,1,C8,0,24
1569184920,8,4000,1,C1,1,9
1569184320,8,6000,1,C3,18,1091
1569184860,5,2000,1,C1,12,1474
1569184560,8,4000,1,C5,0,33
1569184500,8,4000,1,C1,1,513
1569184500,3,1200,0,C1,0,21
1569184860,8,4000,0,C7,0,20
1569184500,5,1200,1,C1,2,134
1569184920,8,6000,1,C1,0,26
1569184860,3,2000,0,C1,0,23
1569184800,8,6000,0,C3,0,55
1569184860,8,500,1,C3,15,773
1569184680,8,2000,0,C5,2,24
1569184320,1,6000,1,C3,1,63
1569184560,1,4000,1,C5,0,3
1569184440,8,500,1,C4,0,24
1569184500,1,4000,1,C1,0,16
1569184680,5,6000,1,C8,0,6
1569184920,1,6000,1,C1,0,3
1569184680,3,6000,0,C8,0,3
1569184740,5,6000,1,C3,1,72
1569184860,1,500,1,C3,5,31
1569184680,8,0,0,C2,2,104
1569184680,5,4000,1,C8,1,19
1569184500,1,6000,1,C1,0,85
1569184860,1,6000,0,C7,0,12
1569184560,1,6000,1,C5,0,9
1569184740,8,1200,1,C3,17,1397
1569184440,8,2000,0,C8,3,29
1569184320,1,4000,1,C3,0,16
1569184740,3,4000,0,C3,0,3
1569184800,1,4000,0,C3,0,3
1569184740,5,4000,1,C3,0,19
1569184680,3,4000,0,C8,0,6
1569184680,8,1200,1,C8,0,127
1569184320,1,500,0,C7,2,6
1569184800,1,1200,1,C3,0,10
1569184740,5,1200,0,C3,0,170
1569184440,5,2000,1,C8,0,29
1569184800,1,2000,1,C8,0,46
1569184680,8,4000,0,C8,15,46
1569184680,3,1200,1,C8,0,3
1569184800,8,1200,0,C6,0,29
1569184740,3,1200,1,C3,0,13
1569184440,3,2000,0,C8,0,3
1569184440,8,4000,0,C2,4,43
1569184740,8,4000,0,C3,0,12
1569184680,8,6000,0,C8,0,6
1569184680,5,2000,1,C5,0,3
1569184800,5,6000,0,C6,0,4
1569184860,1,2000,0,C1,0,7
1569184740,8,6000,0,C3,0,53
1569184440,8,6000,0,C2,0,6
1569184320,8,0,0,C2,0,101
1569184500,5,4000,0,C1,0,30
1569184860,3,500,1,C3,3,13
1569184860,8,2000,0,C1,15,90
1569184860,8,500,0,C2,0,6
1569184320,5,6000,0,C3,0,15
1569184860,5,500,0,C3,1,78
1569184800,5,6000,1,C3,0,77
1569184320,3,6000,1,C3,0,27
1569184500,8,1200,0,C1,0,37
1569184500,3,4000,1,C1,0,18
1569184920,5,6000,0,C1,0,2
1569184800,8,1200,1,C3,17,1413
1569184320,5,4000,0,C3,0,22
1569184800,3,4000,0,C3,0,3
1569184800,8,2000,1,C8,3,1098
1569184500,5,6000,0,C1,0,23
1569184680,4,2000,1,C3,0,2
1569184500,3,6000,1,C1,0,31
1569184800,5,4000,1,C3,2,21
1569184620,8,2000,0,C5,1,22
1569184320,8,1200,0,C3,0,66
1569184320,3,4000,1,C3,0,3
1569184740,1,4000,0,C3,0,1
1569184380,255,0,2,C8,0,3
1569184800,1,1200,0,C6,0,1
1569184620,5,1200,1,C3,1,42
1569184620,8,500,0,C7,0,7
1569184320,8,4000,0,C8,15,48
1569184320,3,1200,1,C8,0,2
1569184920,8,500,1,C5,0,1
1569184440,1,2000,1,C1,0,56
1569184620,8,4000,1,C3,1,294
1569184620,3,1200,0,C3,0,12
1569184680,5,2000,1,C3,8,388
1569184800,8,2000,0,C5,1,27
1569184380,8,500,1,C4,11,24
1569184800,5,0,0,C3,0,1
1569184620,8,6000,1,C3,15,1239
1569184680,3,2000,0,C3,0,6
1569184380,1,1200,1,C1,0,9
1569184680,8,500,1,C1,37,1978
1569184320,8,6000,0,C8,0,4
1569184380,5,4000,1,C1,0,77
1569184560,5,2000,0,C3,1,427
1569184620,8,2000,0,C2,1,72
1569184380,8,2000,0,C7,0,6
1569184620,1,6000,1,C3,1,65
1569184860,3,4000,0,C6,0,2
1569184740,5,2000,1,C8,0,33
1569184380,8,1200,1,C1,23,1873
1569184500,8,4000,0,C8,18,52
1569184380,3,4000,0,C1,0,9
1569184440,5,6000,0,C7,0,3
1569184560,8,500,0,C1,6,29
1569184560,3,2000,1,C3,3,59
1569184680,1,500,1,C1,5,29
1569184500,3,1200,1,C8,0,2
1569184440,5,500,1,C3,0,20
1569184620,1,500,0,C7,0,6
1569184380,5,6000,1,C1,3,195
1569184380,3,6000,0,C1,0,3
1569184500,8,6000,0,C8,0,6
1569184440,3,500,0,C3,0,3
1569184860,3,6000,0,C6,0,3
1569184440,8,2000,1,C1,101,11528
1569184620,1,4000,1,C3,3,15
1569184680,8,1200,0,C2,0,18
1569184320,8,6000,0,C3,0,53
1569184860,5,2000,0,C1,5,1025
1569184800,1,6000,0,C6,0,12
1569184620,5,0,0,C3,0,1
1569184500,3,1200,1,C1,0,20
1569184500,8,4000,0,C1,0,7
1569184500,5,1200,0,C1,5,347
1569184860,3,2000,1,C1,1,130
1569184800,8,6000,1,C3,26,1231
1569184620,4,4000,1,C3,0,1
1569184860,8,500,0,C3,0,65
1569184800,8,500,0,C7,0,9
1569184920,5,1200,0,C1,0,6
1569184800,5,2000,1,C8,0,32
1569184800,5,1200,1,C3,0,41
1569184320,3,1200,1,C3,0,14
1569184800,1,4000,0,C6,0,3
1569184440,1,2000,1,C8,0,49
1569184320,8,4000,0,C3,0,6
1569184800,8,4000,1,C3,6,269
1569184320,5,1200,0,C3,0,153
1569184800,3,1200,0,C3,0,9
1569184800,1,500,0,C7,0,6
1569184800,8,4000,0,C6,3,309
1569184440,8,2000,1,C8,3,1112
1569184740,8,1200,0,C3,0,81
1569184440,8,1200,0,C2,1,18
1569184740,3,4000,1,C3,0,5
1569184800,1,4000,1,C3,0,7
1569184800,5,1200,0,C6,0,1
1569184740,5,4000,0,C3,0,36
1569184680,3,4000,1,C8,0,13
1569184800,8,6000,0,C6,2,44
1569184740,3,6000,1,C3,0,24
1569184680,8,2000,1,C5,1,560
1569184680,3,6000,1,C8,1,7
1569184380,8,2000,0,C2,3,69
1569184800,1,6000,1,C3,2,66
1569184740,5,6000,0,C3,0,20
1569184680,8,6000,0,C2,0,6
1569184560,8,2000,0,C3,0,329
1569184380,8,4000,1,C1,8,502
1569184380,3,1200,0,C1,0,21
1569184680,1,2000,1,C3,3,41
1569184560,3,500,1,C1,0,15
1569184500,3,4000,1,C8,0,13
1569184380,5,1200,1,C1,2,128
1569184560,5,500,0,C1,3,269
1569184440,8,6000,0,C7,0,117
1569184740,8,2000,1,C8,3,1127
1569184380,8,6000,1,C1,11,1656
1569184500,3,6000,1,C8,0,7
1569184500,8,2000,1,C5,5,573
1569184440,3,2000,0,C1,0,21
1569184620,1,1200,1,C3,0,9
1569184680,8,4000,0,C2,1,41
1569184440,8,500,1,C3,8,737
1569184560,1,2000,0,C6,0,6
1569184440,5,2000,1,C1,5,1446
1569184440,8,4000,0,C7,0,21
1569184380,1,6000,1,C1,0,87
1569184320,3,4000,1,C8,0,10
1569184740,8,500,1,C4,0,24
