min,cdn,bitrate,device,p2p,value,cnt
1566655680,3,1200,C3,1,1,155
1566655680,8,0,C5,1,0,1
1566655680,8,0,C3,1,0,8
1566655680,8,0,C2,1,0,2
1566655680,6,0,C5,1,0,1
1566655680,5,500,C1,1,0,12
1566655680,8,500,C8,1,1,4
1566655680,3,1200,C8,1,105,1996
1566655680,5,2000,C1,1,0,1
1566655680,3,500,C1,1,0,40
1566655680,8,500,C1,1,7,166
1566655680,1,0,C2,0,0,1
1566655680,1,0,C5,1,0,1
1566655680,3,0,C3,1,0,1
1566655680,8,1200,C5,0,0,6
1566655680,3,1200,C3,0,0,13
1566655680,3,500,C3,0,0,1
1566655680,3,0,C8,1,0,6
1566655680,3,1200,C1,0,0,53
1566655680,3,-1,C2,0,0,1
1566655680,8,500,C8,0,0,5
1566655680,1,500,C8,0,3,3
1566655680,8,500,C3,1,6,171
1566655680,8,-1,C2,0,0,3
1566655680,1,500,C8,1,6,17
1566655680,8,0,C2,0,6,129
1566655680,5,1200,C6,0,0,29
1566655680,3,1200,C8,0,0,29
1566655680,3,1200,C6,0,16,619
1566655680,5,1200,C1,0,2,63
1566655680,8,500,C5,0,0,6
1566655680,3,1200,C5,1,0,7
1566655680,8,1200,C7,0,1,201
1566655680,5,1200,C1,1,2,42
1566655680,8,1200,C6,0,0,6
1566655680,8,1200,C1,1,22,809
1566655680,1,1200,C6,0,0,12
1566655680,3,1200,C1,1,5,133
1566655680,8,500,C3,0,14,90
1566655680,8,500,C5,1,0,85
1566655680,8,0,C8,1,0,2
1566655680,5,500,C3,0,11,24
1566655680,5,0,C1,0,0,4
1566655680,5,500,C3,1,2,10
1566655680,5,1200,C3,0,0,13
1566655680,3,0,C2,0,0,2
1566655680,5,500,C8,1,0,2
1566655680,3,500,C6,0,0,5
1566655680,1,1200,C3,1,0,9
1566655680,3,500,C1,0,0,7
1566655680,8,1200,C8,1,1,162
1566655680,8,1200,C3,1,23,804
1566655680,1,1200,C8,1,3,56
1566655680,8,0,C1,1,0,4
1566655680,3,500,C8,0,0,64
1566655680,3,500,C8,1,167,459
1566655680,5,1200,C8,1,5,36
1566655680,5,1200,C3,1,0,27
1566655680,3,500,C3,1,1,23
1566655680,3,0,C5,0,0,1
1566655680,8,500,C2,0,1,7
1566655680,3,0,C5,1,0,6
1566655680,1,500,C3,1,0,3
1566655680,5,500,C1,0,18,30
1566655680,3,1200,C7,0,0,8
1566655680,8,500,C7,0,2,110
1566655680,5,-1,C2,0,0,1
1566655680,8,1200,C1,0,3,37
1566655680,4,1200,C3,1,0,1
1566655680,8,1200,C2,0,0,3
1566655680,3,750,C1,1,0,1
1566655680,-1,0,C3,1,0,3
1566655680,3,0,C8,0,1,8
1566655680,1,1200,C1,1,0,3
1566655680,5,0,C2,0,0,1
1566655680,3,1200,C5,0,0,1
1566655680,8,1200,C5,1,0,25
1566655680,8,1200,C3,0,0,86
1566655680,8,500,C1,0,20,89
1566655740,3,1200,C1,0,0,28
1566655740,3,500,C8,1,30,190
1566655740,8,0,C2,1,0,1
1566655740,8,500,C1,0,13,81
1566655740,8,1200,C8,0,0,3
1566655740,3,1200,C3,0,0,15
