min,cdn,bitrate,p2p,device,value,cnt
1569184680,3,3000,0,C2,0,12
1569184440,3,2000,1,C1,20,2756
1569184680,3,1200,0,C2,1,27
1569184440,5,2000,0,C1,1,286
1569184440,3,3000,0,C7,0,63
1569184440,5,0,0,C2,1,3
1569184380,3,3000,1,C1,1,424
1569184380,3,1200,1,C1,10,858
1569184560,3,500,0,C1,2,30
1569184620,3,2000,0,C2,11,105
1569184380,5,1200,0,C1,0,103
1569184560,5,500,1,C1,2,103
1569184860,5,3000,0,C6,0,12
1569184380,5,3000,0,C1,0,5
1569184380,3,2000,0,C7,0,3
1569184680,3,500,1,C1,10,1014
1569184800,5,2000,1,C5,0,21
1569184800,3,2000,0,C5,3,10
1569184380,3,500,1,C4,0,3
1569184680,5,500,0,C1,0,144
1569184620,3,500,0,C7,3,39
1569184800,5,3000,0,C3,0,9
1569184320,3,3000,0,C3,0,6
1569184920,5,1200,1,C1,0,5
1569184680,5,500,0,C6,0,2
1569184920,5,3000,1,C1,0,2
1569184620,3,2000,0,C5,0,9
1569184320,3,1200,0,C3,0,27
1569184620,5,500,1,C8,0,23
1569184800,5,1200,0,C3,0,47
1569184620,3,500,0,C8,0,12
1569184800,3,1200,1,C3,4,886
1569184320,5,1200,1,C3,0,75
1569184620,5,2000,1,C5,10,19
1569184800,3,3000,1,C3,3,354
1569184320,5,3000,1,C3,0,104
1569184800,3,2000,1,C8,1,268
1569184860,5,2000,1,C1,104,317
1569184500,3,3000,0,C1,0,6
1569184500,3,1200,0,C1,0,19
1569184500,5,1200,1,C1,0,143
1569184320,3,0,0,C2,6,164
1569184560,5,3000,1,C5,0,9
1569184860,3,2000,0,C1,4,70
1569184860,3,500,0,C2,0,6
1569184500,5,3000,1,C1,0,72
1569184800,3,3000,0,C6,0,244
1569184500,5,2000,0,C2,0,3
1569184800,3,1200,0,C6,0,22
1569184680,3,3000,1,C8,0,1259
1569184740,5,1200,0,C3,0,49
1569184440,5,2000,1,C8,0,22
1569184680,3,1200,1,C8,0,88
1569184740,5,3000,0,C3,0,12
1569184320,5,500,0,C6,0,2
1569184740,3,3000,1,C3,1,360
1569184740,3,1200,1,C3,2,910
1569184680,3,0,0,C2,5,159
1569184680,5,2000,1,C5,0,21
1569184680,3,2000,0,C5,0,6
1569184380,5,2000,0,C2,0,3
1569184440,3,500,1,C4,0,3
