min,cdn,bitrate,p2p,value,cnt
1573720920,8,2000,0,0,1
1573720920,1,0,1,0,1
1573720920,3,500,1,0,19
1573720920,5,0,0,3,107
1573720920,3,2000,1,0,35
1573720920,5,4000,1,19,2320
1573720920,3,500,0,0,22
1573720920,3,2000,0,2,34
1573720920,5,8000,0,3,131
1573720920,5,8000,1,3,296
1573720920,5,2000,0,10,799
1573720920,5,2000,1,43,3458
1573720920,5,500,1,22,1148
1573720920,5,4000,0,12,346
1573720920,3,4000,0,0,12
1573720920,3,8000,0,0,5
1573720920,3,8000,1,0,18
1573720920,5,1200,1,11,1126
1573720920,5,500,0,1,193
1573720920,3,4000,1,1,37
1573720920,3,1200,0,0,3
1573720920,5,1200,0,9,339
1573720920,3,0,0,0,3
1573720920,3,1200,1,0,24
1573720980,5,500,1,20,1162
1573720980,3,2000,1,0,35
1573720980,3,500,0,0,21
1573720980,3,2000,0,4,33
1573720980,3,8000,1,0,21
1573720980,3,500,1,0,23
1573720980,3,4000,0,0,13
1573720980,5,1200,1,32,1163
1573720980,5,8000,1,4,302
1573720980,5,2000,0,8,821
1573720980,5,8000,0,3,134
1573720980,5,4000,1,27,2404
1573720980,5,2000,1,50,3554
1573720980,5,0,1,0,1
1573720980,3,4000,1,0,39
1573720980,3,1200,1,1,24
1573720980,3,8000,0,0,4
1573720980,5,4000,0,14,371
1573720980,3,0,0,0,3
1573720980,5,0,0,5,107
1573720980,3,1200,0,0,3
1573720980,5,500,0,4,203
1573720980,5,1200,0,8,379
1573721040,3,1200,1,0,22
1573721040,5,2000,0,7,843
1573721040,3,4000,0,0,14
1573721040,3,2000,1,0,37
1573721040,3,0,0,0,3
1573721040,5,4000,0,10,359
1573721040,3,2000,0,1,37
1573721040,3,8000,1,0,21
1573721040,3,8000,0,0,5
1573721040,3,4000,1,1,36
1573721040,5,500,1,20,1162
1573721040,5,1200,1,30,1203
1573721040,5,0,0,11,112
1573721040,5,1200,0,7,378
1573721040,3,500,1,0,24
1573721040,5,500,0,2,194
1573721040,5,8000,0,3,135
1573721040,5,4000,1,24,2411
1573721040,5,8000,1,3,303
1573721040,3,1200,0,0,3
1573721040,3,500,0,1,27
1573721040,5,2000,1,39,3475
1573721100,3,1200,1,0,17
1573721100,3,1200,0,0,2
1573721100,5,1200,0,2,245
1573721100,5,8000,0,1,118
1573721100,5,500,1,23,887
1573721100,5,4000,1,22,1801
1573721100,3,8000,0,0,4
1573721100,5,8000,1,5,234
1573721100,5,0,1,0,1
1573721100,5,2000,1,36,2509
1573721100,5,1200,1,9,867
1573721100,3,500,1,0,16
1573721100,3,4000,1,0,31
1573721100,3,4000,0,0,11
1573721100,3,8000,1,0,12
1573721100,7,1200,0,0,1
1573721100,3,2000,1,1,32
1573721100,3,500,0,0,10
1573721100,3,2000,0,1,30
1573721100,3,0,0,0,1
1573721100,7,0,1,0,1
1573721100,5,2000,0,7,567
1573721100,5,4000,0,10,353
1573721100,255,4294967,0,0,1
1573721100,5,-1,0,0,1
1573721100,8,0,1,0,1
1573721100,1,0,1,0,1
1573721100,5,500,0,1,130
1573721100,5,0,0,7,93
1573721160,5,1200,1,17,641
1573721160,5,4000,0,11,316
1573721160,3,500,1,0,6
1573721160,3,2000,0,1,24
1573721160,3,8000,0,0,4
1573721160,5,500,0,2,93
1573721160,3,4000,0,0,8
1573721160,3,1200,1,0,9
1573721160,5,8000,1,6,205
1573721160,5,2000,1,18,1813
1573721160,5,2000,0,9,377
1573721160,3,2000,1,0,21
1573721160,5,8000,0,0,122
1573721160,5,0,0,2,79
1573721160,8,2000,1,0,1
1573721160,5,1200,0,0,170
1573721160,5,4000,1,15,1412
1573721160,3,500,0,0,4
1573721160,3,8000,1,0,7
1573721160,3,4000,1,0,15
1573721160,5,500,1,5,638
1573721220,3,8000,0,1,4
1573721220,3,500,0,0,3
1573721220,5,500,1,2,581
1573721220,5,1200,0,0,145
1573721220,5,4000,1,8,1269
1573721220,5,8000,0,1,104
1573721220,3,1200,1,0,7
1573721220,3,2000,0,3,21
1573721220,5,2000,0,8,344
1573721220,3,2000,1,0,17
1573721220,5,4000,0,11,308
1573721220,5,0,0,5,74
1573721220,3,4000,0,0,6
1573721220,3,500,1,0,5
1573721220,5,500,0,3,80
1573721220,5,1200,1,7,558
1573721220,5,2000,1,12,1674
1573721220,5,8000,1,3,165
1573721220,3,8000,1,0,6
1573721220,3,4000,1,0,11
1573721280,5,1200,0,2,140
1573721280,3,4000,1,0,9
1573721280,5,4000,0,9,295
1573721280,3,1200,1,0,4
1573721280,5,0,0,3,69
1573721280,3,500,0,0,3
1573721280,5,8000,1,2,153
1573721280,5,8000,0,2,97
1573721280,5,2000,1,18,1572
1573721280,5,500,1,6,537
1573721280,3,2000,1,0,18
1573721280,5,2000,0,3,316
1573721280,3,500,1,0,3
1573721280,5,500,0,0,75
1573721280,3,2000,0,1,21
1573721280,3,4000,0,0,6
1573721280,3,8000,0,0,4
1573721280,5,1200,1,7,528
