min,cdn,p2p,device,bitrate,isp,value,cnt
1587368160,3,1,C3,4000,海外,0,5
1587368160,6,0,C8,2500,移动,1,23
1587368160,6,1,C1,2500,海外,3,15
1587368160,3,0,C1,2500,联通,0,18
1587368160,6,1,C3,500,海外,1,9
1587368160,6,0,C8,4000,电信,0,28
1587368160,5,1,C3,4000,小运营商,0,13
1587368160,6,0,C8,500,联通,0,3
1587368160,3,1,C1,2500,电信,1,62
1587368160,3,1,C8,2500,电信,0,9
1587368160,6,0,C6,4000,小运营商,1,35
1587368160,6,1,C8,4000,小运营商,0,24
1587368160,3,0,C6,4000,小运营商,0,3
1587368160,5,1,C1,500,海外,0,3
1587368160,3,0,C2,0,电信,1,23
1587368160,6,0,C6,500,联通,0,2
1587368160,6,0,C2,500,移动,3,15
1587368160,5,1,C1,4000,移动,2,139
1587368160,6,1,C5,4000,移动,0,6
1587368160,6,0,C1,500,联通,0,6
1587368160,5,0,C3,4000,联通,0,14
1587368160,6,1,C3,2500,联通,3,141
1587368160,6,1,C1,4000,小运营商,1,40
1587368160,3,0,C2,500,移动,0,3
1587368160,3,1,C1,500,电信,0,19
1587368160,5,0,C3,500,移动,0,3
1587368160,5,1,C1,500,移动,3,59
1587368160,6,0,C8,2500,联通,0,8
1587368160,5,1,C1,4000,小运营商,0,11
1587368160,3,1,C3,500,移动,0,14
1587368160,6,1,C1,500,移动,7,277
1587368160,6,1,C3,2500,电信,11,304
1587368160,3,0,C2,2500,电信,1,6
1587368160,3,1,C8,2500,移动,0,6
1587368160,6,0,C2,4000,电信,0,9
1587368160,6,1,C3,2500,移动,13,367
1587368160,6,1,C1,2500,移动,23,1073
1587368160,3,0,C2,2500,移动,5,15
1587368160,6,0,C2,2500,移动,2,85
1587368160,6,1,C5,2500,移动,2,94
1587368160,6,0,C6,2500,小运营商,0,3
1587368160,5,0,C6,2500,移动,0,8
1587368160,6,1,C1,500,教育网,0,3
1587368160,6,1,C4,0,电信,0,3
1587368160,6,0,C1,2500,海外,1,6
