min,cdn,bitrate,p2p,device,value,cnt
1581742980,3,-1,0,C2,0,2
1581742980,3,0,0,C1,10,267
1581742980,3,0,0,C2,67,3658
1581742980,3,0,0,C3,0,8
1581742980,3,0,0,C8,0,25
1581742980,3,0,1,C2,0,6
1581742980,3,0,1,C3,6,47
1581742980,3,0,1,C5,1,5
1581742980,3,500,0,C1,133,3207
1581742980,3,500,0,C2,35,635
1581742980,3,500,0,C3,32,477
1581742980,3,500,0,C4,0,3
1581742980,3,500,0,C5,3,129
1581742980,3,500,0,C6,2,311
1581742980,3,500,0,C7,1,172
1581742980,3,500,0,C8,0,164
1581742980,3,500,1,C1,511,28868
1581742980,3,500,1,C3,278,9233
1581742980,3,500,1,C4,2,51
1581742980,3,500,1,C5,16,523
1581742980,3,500,1,C6,0,18
1581742980,3,500,1,C8,3,2747
1581742980,3,2500,0,C1,209,6082
1581742980,3,2500,0,C2,192,2995
1581742980,3,2500,0,C3,37,843
1581742980,3,2500,0,C5,3,127
1581742980,3,2500,0,C6,15,979
1581742980,3,2500,0,C7,8,305
1581742980,3,2500,0,C8,2,372
1581742980,3,2500,1,C1,1697,104623
1581742980,3,2500,1,C2,0,12
1581742980,3,2500,1,C3,640,28579
1581742980,3,2500,1,C5,98,7526
1581742980,3,2500,1,C6,2,59
1581742980,3,2500,1,C8,16,9197
1581742980,3,4500,0,C1,106,2822
1581742980,3,4500,0,C2,36,1713
1581742980,3,4500,0,C3,34,466
1581742980,3,4500,0,C5,0,14
1581742980,3,4500,0,C6,57,9771
1581742980,3,4500,0,C7,3,371
1581742980,3,4500,0,C8,4,646
1581742980,3,4500,1,C1,1193,69224
1581742980,3,4500,1,C2,0,3
1581742980,3,4500,1,C3,723,26750
1581742980,3,4500,1,C5,18,1026
1581742980,3,4500,1,C6,20,190
1581742980,3,4500,1,C8,65,35376
1581742980,3,8000,0,C1,1,27
1581742980,3,8000,0,C2,10,227
1581742980,3,8000,0,C3,7,241
1581742980,3,8000,0,C5,0,16
1581742980,3,8000,0,C6,24,2502
1581742980,3,8000,0,C7,15,1035
1581742980,3,8000,0,C8,0,70
1581742980,3,8000,1,C1,161,8615
1581742980,3,8000,1,C3,51,1784
1581742980,3,8000,1,C5,15,1713
1581742980,3,8000,1,C6,4,110
1581742980,3,8000,1,C8,4,2869
1581742980,5,-1,0,C2,0,2
1581742980,5,0,0,C1,4,254
1581742980,5,0,0,C2,10,373
1581742980,5,0,0,C3,0,17
1581742980,5,0,0,C5,0,1
1581742980,5,0,0,C8,0,1
1581742980,5,0,1,C3,1,21
1581742980,5,0,1,C4,12,12
1581742980,5,0,1,C5,0,2
1581742980,5,500,0,C1,92,5627
1581742980,5,500,0,C2,7,101
1581742980,5,500,0,C3,46,1546
1581742980,5,500,0,C4,0,3
1581742980,5,500,0,C5,0,6
1581742980,5,500,0,C6,1,36
1581742980,5,500,0,C8,0,19
1581742980,5,500,1,C1,222,8296
1581742980,5,500,1,C3,100,3227
1581742980,5,500,1,C4,0,6
1581742980,5,500,1,C5,3,92
1581742980,5,500,1,C8,0,115
1581742980,5,2500,0,C1,114,14855
1581742980,5,2500,0,C2,28,263
1581742980,5,2500,0,C3,74,5114
1581742980,5,2500,0,C5,3,20
1581742980,5,2500,0,C6,5,154
1581742980,5,2500,0,C8,0,54
1581742980,5,2500,1,C1,453,25041
1581742980,5,2500,1,C3,248,8236
1581742980,5,2500,1,C5,17,932
1581742980,5,2500,1,C6,0,4
1581742980,5,2500,1,C8,2,401
1581742980,5,4500,0,C1,11,882
1581742980,5,4500,0,C2,0,178
1581742980,5,4500,0,C3,11,399
1581742980,5,4500,0,C5,1,3
1581742980,5,4500,0,C6,2,370
1581742980,5,4500,0,C8,0,59
1581742980,5,4500,1,C1,296,18180
1581742980,5,4500,1,C3,235,7278
1581742980,5,4500,1,C5,4,167
1581742980,5,4500,1,C6,2,24
1581742980,5,4500,1,C8,4,1019
1581742980,5,8000,0,C1,0,33
1581742980,5,8000,0,C2,0,21
1581742980,5,8000,0,C3,8,162
1581742980,5,8000,0,C5,0,6
1581742980,5,8000,0,C6,6,775
1581742980,5,8000,0,C7,0,15
1581742980,5,8000,0,C8,0,26
1581742980,5,8000,1,C1,47,2077
1581742980,5,8000,1,C3,13,400
1581742980,5,8000,1,C5,8,226
1581742980,5,8000,1,C6,0,7
1581742980,5,8000,1,C8,0,325
1581742980,6,500,1,C1,1,1
1581742980,7,0,0,C2,0,1
1581742980,7,0,1,C5,0,2
1581742980,7,2500,0,C1,0,1
1581742980,7,2500,0,C2,0,1
1581742980,7,2500,1,C1,0,1
1581742980,8,0,0,C2,0,1
1581742980,8,0,1,C5,0,1
1581743040,3,-1,0,C2,0,1
1581743040,3,0,0,C1,11,271
1581743040,3,0,0,C2,73,3659
1581743040,3,0,0,C3,0,5
1581743040,3,0,0,C8,0,28
1581743040,3,0,1,C2,0,6
1581743040,3,0,1,C3,7,64
1581743040,3,0,1,C5,0,2
1581743040,3,500,0,C1,114,3206
1581743040,3,500,0,C2,44,652
1581743040,3,500,0,C3,36,496
1581743040,3,500,0,C4,0,3
1581743040,3,500,0,C5,5,134
1581743040,3,500,0,C6,2,309
1581743040,3,500,0,C7,2,172
1581743040,3,500,0,C8,2,146
1581743040,3,500,1,C1,544,29078
1581743040,3,500,1,C3,247,9241
1581743040,3,500,1,C4,1,52
1581743040,3,500,1,C5,25,524
1581743040,3,500,1,C6,0,18
1581743040,3,500,1,C8,5,2658
1581743040,3,2500,0,C1,246,6127
1581743040,3,2500,0,C2,217,2986
1581743040,3,2500,0,C3,40,886
1581743040,3,2500,0,C5,0,131
1581743040,3,2500,0,C6,22,975
1581743040,3,2500,0,C7,7,310
1581743040,3,2500,0,C8,5,326
1581743040,3,2500,1,C1,1940,105328
1581743040,3,2500,1,C2,0,12
1581743040,3,2500,1,C3,742,29020
1581743040,3,2500,1,C5,104,7560
1581743040,3,2500,1,C6,1,65
1581743040,3,2500,1,C8,8,8857
1581743040,3,4500,0,C1,93,2822
1581743040,3,4500,0,C2,38,1726
1581743040,3,4500,0,C3,29,470
1581743040,3,4500,0,C5,2,16
1581743040,3,4500,0,C6,67,9842
1581743040,3,4500,0,C7,5,368
1581743040,3,4500,0,C8,2,699
1581743040,3,4500,1,C1,1066,69386
1581743040,3,4500,1,C2,0,3
1581743040,3,4500,1,C3,744,26920
1581743040,3,4500,1,C5,28,1030
1581743040,3,4500,1,C6,18,189
1581743040,3,4500,1,C8,74,34502
1581743040,3,8000,0,C1,0,24
1581743040,3,8000,0,C2,8,228
1581743040,3,8000,0,C3,12,268
1581743040,3,8000,0,C5,0,15
1581743040,3,8000,0,C6,26,2549
1581743040,3,8000,0,C7,19,1052
1581743040,3,8000,0,C8,0,70
1581743040,3,8000,1,C1,164,8623
1581743040,3,8000,1,C3,48,1722
1581743040,3,8000,1,C5,23,1697
1581743040,3,8000,1,C6,3,116
1581743040,3,8000,1,C8,7,2810
1581743040,5,0,0,C1,4,263
1581743040,5,0,0,C2,6,371
1581743040,5,0,0,C3,0,17
1581743040,5,0,1,C3,0,20
1581743040,5,0,1,C4,12,12
1581743040,5,500,0,C1,88,5703
1581743040,5,500,0,C2,5,103
1581743040,5,500,0,C3,32,1554
1581743040,5,500,0,C4,0,3
1581743040,5,500,0,C5,0,9
1581743040,5,500,0,C6,1,32
1581743040,5,500,0,C8,0,21
1581743040,5,500,1,C1,218,8314
1581743040,5,500,1,C3,112,3365
1581743040,5,500,1,C4,0,6
1581743040,5,500,1,C5,3,91
1581743040,5,500,1,C8,1,111
1581743040,5,2500,0,C1,151,15023
1581743040,5,2500,0,C2,31,262
1581743040,5,2500,0,C3,84,5152
1581743040,5,2500,0,C5,3,24
1581743040,5,2500,0,C6,9,154
1581743040,5,2500,0,C8,2,38
1581743040,5,2500,1,C1,523,25173
1581743040,5,2500,1,C3,275,8335
1581743040,5,2500,1,C5,17,929
1581743040,5,2500,1,C6,0,3
1581743040,5,2500,1,C8,0,362
1581743040,5,4500,0,C1,14,889
1581743040,5,4500,0,C2,1,175
1581743040,5,4500,0,C3,9,455
1581743040,5,4500,0,C6,5,371
1581743040,5,4500,0,C8,1,53
1581743040,5,4500,1,C1,294,18182
1581743040,5,4500,1,C3,224,7282
1581743040,5,4500,1,C5,7,169
1581743040,5,4500,1,C6,0,24
1581743040,5,4500,1,C8,4,981
1581743040,5,8000,0,C1,0,33
1581743040,5,8000,0,C2,0,20
1581743040,5,8000,0,C3,2,158
1581743040,5,8000,0,C5,0,6
1581743040,5,8000,0,C6,7,775
1581743040,5,8000,0,C7,0,15
1581743040,5,8000,0,C8,0,27
1581743040,5,8000,1,C1,52,2113
1581743040,5,8000,1,C3,17,405
1581743040,5,8000,1,C5,12,222
1581743040,5,8000,1,C6,0,10
1581743040,5,8000,1,C8,0,314
1581743040,7,0,1,C5,0,1
1581743040,8,0,1,C5,0,3
1581743040,8,2500,1,C5,0,1
1581743100,3,-1,0,C2,0,4
1581743100,3,0,0,C1,13,252
1581743100,3,0,0,C2,68,3703
1581743100,3,0,0,C3,0,3
1581743100,3,0,0,C5,0,1
1581743100,3,0,0,C8,0,20
1581743100,3,0,1,C2,0,9
1581743100,3,0,1,C3,9,61
1581743100,3,0,1,C5,0,9
1581743100,3,500,0,C1,151,3186
1581743100,3,500,0,C2,52,649
1581743100,3,500,0,C3,31,494
1581743100,3,500,0,C4,0,3
1581743100,3,500,0,C5,3,133
1581743100,3,500,0,C6,5,329
1581743100,3,500,0,C7,3,175
1581743100,3,500,0,C8,1,109
1581743100,3,500,1,C1,697,28925
1581743100,3,500,1,C3,252,9226
1581743100,3,500,1,C4,0,49
1581743100,3,500,1,C5,24,536
1581743100,3,500,1,C6,1,18
1581743100,3,500,1,C8,5,2320
1581743100,3,2500,0,C1,238,6035
1581743100,3,2500,0,C2,189,3001
1581743100,3,2500,0,C3,41,862
1581743100,3,2500,0,C5,1,126
1581743100,3,2500,0,C6,18,995
1581743100,3,2500,0,C7,6,310
1581743100,3,2500,0,C8,5,291
1581743100,3,2500,1,C1,1865,104721
1581743100,3,2500,1,C2,0,15
1581743100,3,2500,1,C3,664,28687
1581743100,3,2500,1,C5,91,7588
1581743100,3,2500,1,C6,2,59
1581743100,3,2500,1,C8,16,7849
1581743100,3,4500,0,C1,104,2832
1581743100,3,4500,0,C2,45,1757
1581743100,3,4500,0,C3,35,424
1581743100,3,4500,0,C5,3,21
1581743100,3,4500,0,C6,73,9851
1581743100,3,4500,0,C7,7,374
1581743100,3,4500,0,C8,7,542
1581743100,3,4500,1,C1,1219,68776
1581743100,3,4500,1,C2,0,3
1581743100,3,4500,1,C3,698,27346
1581743100,3,4500,1,C5,22,1048
1581743100,3,4500,1,C6,16,191
1581743100,3,4500,1,C8,73,31773
1581743100,3,8000,0,C1,4,27
1581743100,3,8000,0,C2,8,223
1581743100,3,8000,0,C3,10,258
1581743100,3,8000,0,C5,3,18
1581743100,3,8000,0,C6,28,2552
1581743100,3,8000,0,C7,21,1051
1581743100,3,8000,0,C8,0,68
1581743100,3,8000,1,C1,211,8492
1581743100,3,8000,1,C3,69,1745
1581743100,3,8000,1,C5,22,1699
1581743100,3,8000,1,C6,3,115
1581743100,3,8000,1,C8,6,2605
1581743100,5,-1,0,C2,0,1
1581743100,5,0,0,C1,7,265
1581743100,5,0,0,C2,7,378
1581743100,5,0,0,C3,0,15
1581743100,5,0,0,C5,0,1
1581743100,5,0,1,C3,5,17
1581743100,5,0,1,C4,12,12
1581743100,5,0,1,C5,0,7
1581743100,5,500,0,C1,107,5678
1581743100,5,500,0,C2,9,104
1581743100,5,500,0,C3,80,1523
1581743100,5,500,0,C4,0,3
1581743100,5,500,0,C5,1,8
1581743100,5,500,0,C6,2,32
1581743100,5,500,0,C7,0,1
1581743100,5,500,0,C8,0,16
1581743100,5,500,1,C1,263,8274
1581743100,5,500,1,C3,150,3286
1581743100,5,500,1,C4,0,5
1581743100,5,500,1,C5,6,90
1581743100,5,500,1,C8,0,95
1581743100,5,2500,0,C1,138,14883
1581743100,5,2500,0,C2,34,254
1581743100,5,2500,0,C3,58,5018
1581743100,5,2500,0,C5,0,23
1581743100,5,2500,0,C6,7,153
1581743100,5,2500,0,C7,0,2
1581743100,5,2500,0,C8,0,39
1581743100,5,2500,1,C1,507,25195
1581743100,5,2500,1,C3,239,7886
1581743100,5,2500,1,C5,13,904
1581743100,5,2500,1,C6,0,3
1581743100,5,2500,1,C8,1,305
1581743100,5,4500,0,C1,16,873
1581743100,5,4500,0,C2,3,178
1581743100,5,4500,0,C3,6,544
1581743100,5,4500,0,C6,7,376
1581743100,5,4500,0,C8,0,51
1581743100,5,4500,1,C1,339,17956
1581743100,5,4500,1,C3,265,7369
1581743100,5,4500,1,C5,3,180
1581743100,5,4500,1,C6,0,24
1581743100,5,4500,1,C8,6,842
1581743100,5,8000,0,C1,0,35
1581743100,5,8000,0,C2,0,21
1581743100,5,8000,0,C3,2,144
1581743100,5,8000,0,C5,0,6
1581743100,5,8000,0,C6,10,788
1581743100,5,8000,0,C7,0,12
1581743100,5,8000,0,C8,0,19
1581743100,5,8000,1,C1,61,2086
1581743100,5,8000,1,C3,20,393
1581743100,5,8000,1,C5,11,236
1581743100,5,8000,1,C6,0,12
1581743100,5,8000,1,C8,0,291
1581743100,6,0,0,C5,0,1
1581743100,6,0,1,C5,0,4
1581743100,7,0,0,C2,0,2
1581743100,7,0,1,C5,1,9
1581743100,7,500,1,C5,0,1
1581743100,7,2500,0,C2,0,1
1581743100,7,2500,1,C1,0,1
1581743100,7,2500,1,C3,0,2
1581743100,7,2500,1,C5,0,1
1581743100,8,2500,1,C1,0,1
1581743160,3,-1,0,C2,0,3
1581743160,3,0,0,C1,19,262
1581743160,3,0,0,C2,57,3757
1581743160,3,0,0,C3,0,3
1581743160,3,0,0,C8,0,21
1581743160,3,0,1,C2,0,9
1581743160,3,0,1,C3,7,50
1581743160,3,0,1,C5,0,2
1581743160,3,500,0,C1,143,3261
1581743160,3,500,0,C2,45,663
1581743160,3,500,0,C3,41,536
1581743160,3,500,0,C4,0,3
1581743160,3,500,0,C5,1,132
1581743160,3,500,0,C6,2,317
1581743160,3,500,0,C7,3,173
1581743160,3,500,0,C8,0,159
1581743160,3,500,1,C1,637,29794
1581743160,3,500,1,C3,235,9537
1581743160,3,500,1,C4,0,49
1581743160,3,500,1,C5,25,549
1581743160,3,500,1,C6,2,18
1581743160,3,500,1,C8,2,2692
1581743160,3,2500,0,C1,227,6140
1581743160,3,2500,0,C2,207,3059
1581743160,3,2500,0,C3,30,838
1581743160,3,2500,0,C5,1,119
1581743160,3,2500,0,C6,11,1029
1581743160,3,2500,0,C7,4,312
1581743160,3,2500,0,C8,4,347
1581743160,3,2500,1,C1,1891,107703
1581743160,3,2500,1,C2,1,15
1581743160,3,2500,1,C3,699,29400
1581743160,3,2500,1,C5,112,7788
1581743160,3,2500,1,C6,1,55
1581743160,3,2500,1,C8,19,9060
1581743160,3,4500,0,C1,116,2902
1581743160,3,4500,0,C2,33,1783
1581743160,3,4500,0,C3,34,359
1581743160,3,4500,0,C5,0,23
1581743160,3,4500,0,C6,74,9970
1581743160,3,4500,0,C7,3,384
1581743160,3,4500,0,C8,5,657
1581743160,3,4500,1,C1,1190,70880
1581743160,3,4500,1,C2,0,3
1581743160,3,4500,1,C3,760,27395
1581743160,3,4500,1,C5,13,1045
