min,cdn,bitrate,device,p2p,value,cnt
1569495120,7,2000,C6,0,0,2
1569495120,7,4000,C8,1,0,1
1569495120,7,2000,C3,1,1,10
1569495120,7,1200,C6,0,0,2
1569495120,7,4000,C6,0,0,22
1569495120,7,4000,C3,1,1,8
1569495180,7,2000,C3,1,0,22
1569495180,7,1200,C6,0,0,2
1569495180,7,4000,C6,0,0,28
1569495180,7,2000,C6,0,0,1
1569495180,7,4000,C3,1,0,7
1569495240,7,1200,C6,0,0,2
1569495240,7,2000,C3,1,3,28
1569495240,7,4000,C6,0,0,19
1569495240,7,2000,C6,0,0,2
1569495240,7,4000,C3,1,0,8
1569495300,7,4000,C3,1,0,13
1569495300,7,1200,C6,0,0,1
1569495300,7,2000,C3,1,1,25
1569495300,7,2000,C6,0,0,2
1569495300,7,4000,C6,0,0,21
1569495300,7,4000,C1,1,1,1
1569495360,7,4000,C6,0,0,29
1569495360,7,1200,C6,0,0,2
1569495360,7,2000,C3,1,3,23
1569495360,7,4000,C3,1,1,14
1569495360,7,2000,C6,0,0,2
1569495420,7,1200,C6,0,0,2
1569495420,7,2000,C3,1,0,13
1569495420,7,2000,C6,0,0,2
1569495420,7,4000,C6,0,0,23
1569495420,3,500,C1,1,0,2
1569495420,7,4000,C3,1,0,13
1569495480,7,2000,C5,1,0,16
1569495480,7,10000,C3,1,0,53
1569495480,5,2000,C5,0,0,27
1569495480,7,4000,C8,1,0,1
1569495480,3,10000,C6,0,0,22
1569495480,3,2000,C6,0,0,2
1569495480,5,0,C8,0,0,1
1569495480,5,2000,C3,1,0,10
1569495480,7,0,C1,1,0,2
1569495480,7,4000,C3,1,0,14
1569495480,5,8000,C5,0,0,1
1569495480,7,2000,C2,0,0,6
1569495480,3,10000,C1,1,0,1
1569495480,5,10000,C6,0,0,83
1569495480,5,4000,C5,1,0,5
1569495480,7,2000,C5,0,0,6
1569495480,3,500,C1,1,0,1
1569495480,3,8000,C3,1,0,1
1569495480,5,0,C5,0,0,1
1569495480,5,4000,C5,0,0,9
1569495480,4,2000,C3,1,0,1
1569495480,7,0,C2,0,0,9
1569495480,5,2000,C8,1,0,5
1569495480,5,0,C2,0,0,2
1569495480,7,4000,C5,1,0,6
1569495480,7,2000,C6,0,0,1
1569495480,7,2000,C3,0,0,2
1569495480,1,0,C3,1,0,1
1569495480,3,8000,C5,0,0,1
1569495480,3,2000,C1,1,0,1
1569495480,5,2000,C6,0,0,4
1569495480,7,10000,C1,1,0,26
1569495480,3,2000,C5,1,0,2
1569495480,3,2000,C3,1,0,3
1569495480,3,4000,C5,0,0,6
1569495480,7,10000,C6,0,0,446
1569495480,7,2000,C3,1,0,76
1569495480,7,8000,C3,1,0,1
1569495480,7,2000,C1,1,0,33
1569495480,7,4000,C6,0,0,411
1569495480,7,2000,C8,1,0,2
1569495480,5,2000,C3,0,0,6
1569495480,3,2000,C5,0,0,23
1569495480,-1,0,C8,2,9,433
1569495480,5,2000,C5,1,0,18
1569495480,7,10000,C5,1,0,5
1569495480,3,0,C5,0,0,3
1569495480,7,10000,C8,1,0,1
1569495480,7,1200,C6,0,1,111
1569495480,5,2000,C2,0,0,6
1569495540,7,2000,C1,0,1,21
1569495540,7,2000,C6,0,0,8
1569495540,7,2000,C1,1,3,237
1569495540,3,10000,C5,1,0,3
1569495540,7,10000,C1,0,0,1
1569495540,5,2000,C8,1,1,109
1569495540,3,2000,C1,0,0,2
1569495540,7,2000,C8,0,0,2
1569495540,7,8000,C8,1,0,4
1569495540,3,10000,C6,0,0,10
1569495540,3,2000,C7,0,0,3
1569495540,5,10000,C3,1,0,5
1569495540,3,0,C2,0,0,1
1569495540,7,4000,C5,0,0,3
1569495540,7,0,C2,0,13,39
1569495540,5,2000,C3,0,0,10
1569495540,3,8000,C8,1,0,2
1569495540,3,10000,C3,1,0,6
1569495540,5,0,C8,0,0,11
1569495540,-1,0,C8,2,7,363
1569495540,5,0,C2,0,0,1
1569495540,7,4000,C5,1,0,6
1569495540,7,2000,C7,0,0,13
1569495540,3,10000,C1,1,0,4
1569495540,7,10000,C8,0,0,4
1569495540,3,10000,C8,1,0,1
1569495540,7,0,C1,1,3,9
1569495540,7,2000,C5,1,4,50
1569495540,5,2000,C1,0,1,15
1569495540,7,2000,C3,0,0,7
1569495540,7,2000,C5,0,0,9
1569495540,4,2000,C3,1,0,1
1569495540,7,10000,C8,1,0,14
1569495540,3,2000,C1,1,0,3
1569495540,7,1200,C6,0,0,5
1569495540,7,2000,C3,1,12,300
1569495540,5,2000,C3,1,0,19
1569495540,3,8000,C7,0,0,1
1569495540,7,10000,C3,0,0,6
1569495540,5,10000,C6,0,0,9
1569495540,7,10000,C5,1,0,14
1569495540,5,2000,C6,0,0,2
1569495540,5,2000,C5,0,0,1
1569495540,5,8000,C6,0,1,1
1569495540,7,10000,C6,0,2,36
1569495540,3,10000,C3,0,0,1
1569495540,7,2000,C2,0,3,26
1569495540,5,2000,C1,1,0,3
1569495540,255,4294967,C1,0,0,1
1569495540,3,2000,C3,1,0,7
1569495540,5,2000,C5,1,0,1
1569495540,5,8000,C3,1,0,3
1569495540,5,10000,C8,1,0,6
1569495540,7,2000,C8,1,0,79
1569495540,7,10000,C1,1,7,93
1569495540,7,10000,C3,1,9,104
1569495540,3,10000,C7,0,0,2
1569495540,7,0,C3,1,0,3
1569495540,3,8000,C3,1,0,3
1569495540,3,2000,C6,0,0,4
1569495540,5,8000,C8,1,0,2
1569495540,7,4000,C6,0,0,33
1569495540,7,4000,C3,1,0,14
1569495600,7,2000,C2,0,6,23
1569495600,7,4000,C6,0,0,37
1569495600,3,8000,C7,0,0,8
1569495600,7,1200,C2,0,0,1
1569495600,5,4000,C3,0,0,1
1569495600,7,2000,C5,1,6,61
1569495600,7,-1,C1,1,0,1
1569495600,3,0,C2,0,2,3
1569495600,5,2000,C3,1,0,24
1569495600,7,2000,C6,0,0,14
1569495600,5,2000,C5,1,0,1
1569495600,3,2000,C8,0,0,2
1569495600,7,10000,C8,0,0,6
1569495600,7,10000,C5,0,0,3
1569495600,3,10000,C5,1,0,5
1569495600,7,1200,C1,1,0,8
1569495600,3,2000,C8,1,0,1
1569495600,3,10000,C3,0,0,3
1569495600,7,500,C3,1,0,2
1569495600,7,10000,C3,1,7,169
1569495600,7,10000,C8,1,0,91
1569495600,5,2000,C1,0,1,34
1569495600,7,1200,C6,0,0,4
1569495600,7,0,C1,1,1,9
1569495600,7,-1,C2,0,0,2
1569495600,5,8000,C8,1,0,4
1569495600,7,10000,C6,0,1,38
1569495600,3,10000,C6,0,0,14
1569495600,5,500,C3,1,0,2
1569495600,5,10000,C1,1,0,8
1569495600,5,1200,C1,0,0,2
1569495600,5,4000,C1,0,0,4
1569495600,7,1200,C1,0,0,3
1569495600,7,2000,C8,1,0,161
1569495600,7,10000,C5,1,1,50
