min,value,cnt,cdn,bitrate,p2p,isp
1596697500,2,15,5,500,0,移动
1596697500,0,29,5,10000,0,联通
1596697500,2,187,5,10000,1,联通
1596697500,0,19,3,10000,1,联通
1596697500,0,78,3,10000,1,电信
1596697500,0,56,5,500,1,联通
1596697500,6,206,5,2000,1,联通
1596697500,0,75,5,500,1,移动
1596697500,1,53,5,2000,0,电信
1596697500,5,250,5,10000,1,移动
1596697500,2,12,3,2000,1,电信
1596697500,3,468,5,10000,1,电信
1596697500,0,80,5,10000,0,电信
1596697500,0,52,5,2000,0,移动
1596697500,2,396,5,2000,1,移动
1596697500,0,31,3,10000,0,电信
1596697500,6,575,5,4000,1,联通
1596697500,1,42,5,10000,0,移动
1596697500,0,15,5,10000,1,小运营商
1596697500,2,45,3,10000,1,移动
1596697500,1,80,5,500,1,电信
1596697500,9,405,5,2000,1,电信
1596697500,0,83,5,4000,0,移动
1596697500,0,44,5,4000,1,小运营商
1596697500,3,133,5,4000,0,电信
1596697500,0,26,3,4000,1,电信
1596697500,0,29,5,0,0,联通
1596697500,9,632,5,4000,1,移动
1596697500,1,28,5,0,0,移动
1596697500,0,94,5,0,0,电信
1596697500,0,13,5,500,0,联通
1596697500,4,167,5,2000,0,联通
1596697500,12,1452,5,4000,1,电信
1596697500,2,84,5,4000,0,联通
1596697560,0,81,5,4000,0,移动
1596697560,0,29,5,0,0,联通
1596697560,1,45,5,2000,0,电信
1596697560,1,95,5,0,0,电信
1596697560,1,22,3,10000,1,联通
1596697560,5,246,5,10000,1,移动
1596697560,4,212,5,2000,1,联通
1596697560,2,85,5,4000,0,联通
1596697560,0,47,5,500,1,联通
1596697560,7,181,5,10000,1,联通
1596697560,13,1437,5,4000,1,电信
1596697560,0,11,3,2000,1,电信
1596697560,6,419,5,2000,1,电信
1596697560,0,29,3,4000,1,电信
1596697560,0,42,5,10000,0,移动
1596697560,0,27,5,10000,0,联通
1596697560,1,126,5,4000,0,电信
1596697560,8,640,5,4000,1,移动
1596697560,7,584,5,4000,1,联通
1596697560,4,478,5,10000,1,电信
1596697560,3,42,3,10000,1,移动
1596697560,0,77,5,10000,0,电信
1596697560,0,75,5,500,1,电信
1596697560,0,30,3,10000,0,电信
1596697560,2,32,5,0,0,移动
1596697560,3,12,5,500,0,移动
1596697560,0,49,5,2000,0,移动
1596697560,5,166,5,2000,0,联通
1596697560,0,78,3,10000,1,电信
